M1_甲发布去掉第二道屏障	    execute_phase_parallel(device, buffers, &record_jobs, worker_count);\n    device.barrier();\n    if plan.writes_root_slot {	    execute_phase_parallel(device, buffers, &record_jobs, worker_count);\n    if plan.writes_root_slot {
M2_第一道屏障之后就放行	    let made_durable_at = Instant::now();\n    debug_assert!(made_durable_at >= after_first_barrier);\n    made_durable_at\n}	    after_first_barrier\n}
M3_WAL臂写混成甲的规划函数	Arm::WriteAheadLogFull => plan_write_ahead_log_fsync_batch(shape, WriteAheadLogArm::WriteAheadLogFull, batch_size, shared, random_state),	Arm::WriteAheadLogFull => plan_jia_batch(shape, batch_size, shared, random_state),
M4_组提交开也把批封顶为1	fn drain_batch_from_queue(queue: &mut VecDeque<QueueEntry>, group_commit_enabled: bool) -> Vec<QueueEntry> {\n    if group_commit_enabled {\n        queue.drain(..).collect()\n    } else {\n        let mut one = VecDeque::new();\n        if let Some(entry) = queue.pop_front() {\n            one.push_back(entry);\n        }\n        one.into()\n    }\n}	fn drain_batch_from_queue(queue: &mut VecDeque<QueueEntry>, group_commit_enabled: bool) -> Vec<QueueEntry> {\n    let _ = group_commit_enabled;\n    let mut one = VecDeque::new();\n    if let Some(entry) = queue.pop_front() {\n        one.push_back(entry);\n    }\n    one.into()\n}
M5_t_issue改成在收批时刻取	samples_out.lock().unwrap().push(SampleRecord { issued_at, batch_started_at, made_durable_at, released_at, returned_at, batch_size: 0 });	samples_out.lock().unwrap().push(SampleRecord { issued_at: batch_started_at, batch_started_at, made_durable_at, released_at, returned_at, batch_size: 0 });
M6_PC1忙等挪到放行之后	        if let Some(inject) = pc1_inject {\n            if batch_index % 2 == 0 {\n                busy_wait(inject);\n            }\n        }\n        let released_at = Instant::now();\n        for entry in &batch {\n            let _ = entry.reply.send((batch_started_at, made_durable_at, released_at));\n        }	        let released_at = Instant::now();\n        for entry in &batch {\n            let _ = entry.reply.send((batch_started_at, made_durable_at, released_at));\n        }\n        if let Some(inject) = pc1_inject {\n            if batch_index % 2 == 0 {\n                busy_wait(inject);\n            }\n        }
M7_随机取整换成向下取整	    floor_value as u64 + u64::from(draw < fractional_part)	    floor_value as u64
M8_T_time常量读成50秒	const CHECKPOINT_TIME_THRESHOLD: Duration = Duration::from_millis(5000);	const CHECKPOINT_TIME_THRESHOLD: Duration = Duration::from_millis(50_000);
M9_系统配置槽写之前不读	    let _ = device.read_at(slot_zero, SYSTEM_CONFIGURATION_SLOT_BYTES as usize, UnitKind::SystemConfigurationSlot);\n    let _ = device.read_at(slot_one, SYSTEM_CONFIGURATION_SLOT_BYTES as usize, UnitKind::SystemConfigurationSlot);\n    device.write_at(write_offset, buffers.buffer_for(UnitKind::SystemConfigurationSlot), UnitKind::SystemConfigurationSlot);	    device.write_at(write_offset, buffers.buffer_for(UnitKind::SystemConfigurationSlot), UnitKind::SystemConfigurationSlot);
M10_根槽写4096字节而不是512	            UnitKind::RootSlot => PRIMARY_PHYSICAL_BLOCK_SIZE_BYTES,	            UnitKind::RootSlot => SYSTEM_CONFIGURATION_SLOT_BYTES,
M11_J1比较从大于等于改成大于	    if ratio >= threshold {\n        RatioVerdict::CrossedUp	    if ratio > threshold {\n        RatioVerdict::CrossedUp
M12_五轮合并改成多数轮说了算	    if verdicts.iter().all(|&verdict| verdict == verdicts[0]) {	    if verdicts.iter().filter(|&&verdict| verdict == verdicts[0]).count() >= 4 {
M13_开环issued_at改取实际发出时刻	fn open_loop_issued_at(scheduled_instant: Instant, _actual_issue_instant: Instant) -> Instant {\n    scheduled_instant\n}	fn open_loop_issued_at(scheduled_instant: Instant, _actual_issue_instant: Instant) -> Instant {\n    let _ = scheduled_instant;\n    _actual_issue_instant\n}
M14_放行到醒这一段漏掉唤醒	    fn release_to_wake_nanos(&self) -> u64 {\n        self.returned_at.saturating_duration_since(self.released_at).as_nanos() as u64\n    }	    fn release_to_wake_nanos(&self) -> u64 {\n        0\n    }
