组	旧事实	新事实	载体	原文
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:266	**现状（2026-09-17 立；同日开工）**：第 1 件已交回：发布路径按 12 种结构报每次发布的写调用与写字节（`crates/singlefs-core/src/write_accounting.rs`），真设备二进制每段窗口与设备一层计数比对，发布 B 两盘合计 21 次写调用 / 344 576 字节按种类拆开与算术逐项相同；代码三方第一轮打中失败路径那一格（收口表第 20b 行）；第 3 件交回，报告入库 `research/prompts/m2-s1-prior-art-report.md`（三家的 fsync 都只写日志或意图日志，主树只在周期提交时落盘，本机能查源码的三家里没有一家每次 fsync 写脏叶加全部祖先加根；读源码，没实测，未在本项目验证）；第 2 件：岔路单 `research/prompts/m2-s1-forks.md`（五行），跑前登记 `research/prompts/e155-preregistration.md`，实验 E155（每次持久化的写量：三种 fsync 形态与反事实上界） 第一、二段已跑（岔路单第 1 行够判）：甲与乙每次
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:283	2. 计数模型量增长：`experiment-designer` 写跑前登记，写死轴（各树树高 1 到 4、一次发布的脏文件数、顺序与随机覆盖写）与判据。模型按 `crates/` 今天的写法建（`.claude/rules/implementation-first.md`）；树高大于 1 的格子实现里没有分裂，只能由模型给。第一格（树高 1、一个文件、覆盖写）要与第 1 件报的 344 576 字节逐字节对上：两套装置算同一个量。钉绝对值，带变异表。
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:294	- 计数模型的跑前登记、产物、变异表入库；树高 1 那一格与第 1 件逐字节相同，漏算任一棵树的变异判红；报出树高 2、3、4 与多个脏文件下每次持久化的写字节，每个数带口径。
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:311	| ② | F 的「生效」事后回落（checker 候选集下界用哪个 F、被抛弃根带的 F 算不算、抬 F 的空发布分配不到固定点、F 回落之后抬 F 被挡、一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1（已分配统计对得上） 红）；连带：A 的根被轮转覆写之后 I-3.1（已分配统计对得上） 读法甲与分配器的「占着」分道（步 5 决策点）；D28（挂载期承诺量） 已定项 1 的可用式子按读法甲扣两次 defer（步 2 决策点）；alloc-basis 岔路表第 1、2、3、7 行待你定、第 4 行要不要修 E154（两道闸串-重判与回收时点的代价） 装置两处 bug 与「回退不查目标在不在环里」之后重跑、第 8 行没立题，而第 8 行与 C370（需求、可用与 df 没有共同单位）、C371（活元数据没有定义） 是同一个没定义的前提；C356（第九项按统计量之差算，净释放时为负且没有钳位） 在第九项改成独占集之后还成不成立没人答；E153（账本形态与环上有洞的代价）、E154（两道闸串-重判与回收时点的代价） 与 `crates/` 的对拍不在复跑里；2026-
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:358	| 41 | 崩溃点重放越跑越慢：层 0 第二条流（固定脚本到 E，2,104,413 个状态）2026-09-18 在新代码上单进程跑完，门禁 54 号两条流合计 3 小时 50 分 49 秒（04:22:54 到 08:13:43 UTC，`research/prompts/m2-wave2-crash-verifier/54-layer0-replay.log`），这是以后并行的对照基准；第一条流（262,165 个状态）约 3 分钟（同日单独跑一次整个用例文件 203.84 秒）；进程只用满 32 核里的 1 核；每个状态做两遍恢复加 checker，I-3.9（释放代落在停止引用它的那一格区间里）、I-9.14（树表条目的诞生 txg 跨根不变）、I-5.4（分配记录罩住的槽互不相交） 要对回退候选集里每条根各走一遍，历史越长越贵 | 验证装置的代价（2026-09-18 用户与主 agent 讨论提出） | 不等 | 立一个计数实验先量账：每个状态的时间里恢复与 checker 各占多少、截出来的盘面有几成逐字节重复、按状态区间切成 4 / 8 / 16 / 32 个进程各
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:360	| 43 | 回退之后把 F 抬进回退留下的空档（F 落在被抛弃实例那几条根的 txg 上），checker 在合法状态上判 I-3.1（已分配统计对得上） 红：回退目标根的 txg 在 F 之下、出了 checker 取并集的候选集，它独占的槽还在记账的已分配里。最短复现 11 步：可写挂载、覆盖写两次、回退到 (2, 7) 两次（实例 3 的三条根被抛弃）、覆盖写、可写挂载、覆盖写三次、抬 F 到 8，盘 0 记账的已分配 1441792、遍历全部有效根 1343488，差 6 × 16384；同一段只换 F，7、11、12 不红，8、9、10 红，红的正好是被抛弃实例的三个 txg。增补 3 第 1 件的历史生成器第一次跑撞出（快档种子 80；大档 3000 段里 30 段） | 实现与 checker 读法对不上，第 ② 行那一族（checker 候选集的下界用哪个 F、被抛弃的根算不算），增补 3 撞出 | 等 | 登记成生成器的已知红第 1 条（撞到照记、那段历史到此为止），用例 `raising_the_floor_into_the_gap_left_by_a_rollb
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:361	| 44 | 复用一个已回收的落点、改写那条分配记录时分配代没改（留着上一次的代），checker 判不出：`.claude/kb/invariants.md` 里只有 I-3.9（释放代落在停止引用它的那一格区间里） 管释放代，没有一条管已分配记录的分配代；增补 3 第 1 件的生成器快档与大档也判不出（代码三方第一轮攻方腿的变异「复用改写已回收记录时不改分配代」，主 agent 在副本上亲跑：快档与基线逐字相同） | checker 缺一条判据，增补 3 撞出 | 不等 | 生成器先按内存里的分配记录判（第 1 件的改法）；盘上这一格要不要新立一条不变量（例：已分配记录的分配代等于把它写成已分配的那次发布的 txg），归增补 3 第 2 件，新立判据要连同坏镜像与变异 | 本行；`research/prompts/m2-supp3-item1-code-r1-main-verification.md`第二节第 3 行 |
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:367	- 不收口 C26（屏障数从没量过）：增补 1 第 1 件会报每次发布的屏障数，seq 与 multistream 的对比不在这个里程碑
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:385	**现状（2026-09-18 立；同日开工）**：工具已装（nightly 工具链、cargo-mutants 27.1.0、cargo-fuzz 0.13.2）。第 1 件交回（`research/prompts/m2-supp3-item1-implementer-report.md`，产物在同名目录）：生成器、执行器、已知红清单、收缩与大档在 `crates/singlefs-harness/src/history.rs`，快档（种子 [0, 96)、每段 30 步、`check.sh` 里约 26 秒）在 `crates/singlefs-harness/tests/second_transaction_supplement_three_random_history.rs`，随机源手写 SplitMix64；把 `crates/mutations.tsv` 第 41、121 行改回去快档都判红（第 129、130 行钉着；第 121 行那一条只有种子 54、69 判得出，余量薄）；第一次跑撞出清单外一类，登记成已知红第 1 条（增补 2 收口表第 43 行）；快档 96 段里
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	.claude/kb/milestone/02-second-txn.md:403	2. 理想模型与对拍（验收加一条，2026-09-18 第 1 件代码三方第一轮判决：模型接上之后，攻方腿的六条变异都要判红——装得下的内容被拒、合法的回退目标被拒、抬 F 越过上限被接受（两条）、冷启动读回失败、复用改写时分配代不改，变异名与原文在 `research/prompts/m2-supp3-item1-code-r1-opus-model/mutants.tsv`）：一个只住内存的模型，记每一版提交的内容、每条根属于哪个实例、实例表的行、F，回答「冷启动该读回哪一版」「回退到这条根该不该被拒」「这个错误该不该出现」；第 1 件的每一步拿实现的结局与模型比。模型不与 `crates/singlefs-core` 共用代码，只共享格式常量，与 checker 同一条（D13（验证路线） 已定项 5）。接上之后门禁阶段声明 `# gate-covers: 模型对拍`。
