M1_波漏掉快照根	let roots: Vec<u32> =\n        std::iter::once(world.live_root).chain(world.snapshots.iter().map(|snapshot| snapshot.root)).collect();	let roots: Vec<u32> = std::iter::once(world.live_root).collect();
M2_重建叶不改槽位	if let Some(&(_, new_slot)) = plan.get(&entry.version_index) {\n                    entry.slot = new_slot;\n                    subtree_changed = true;\n                }	if let Some(&(_, _new_slot)) = plan.get(&entry.version_index) {\n                    subtree_changed = true;\n                }
M3_记忆化污染	memoized_rebuilds.insert(node, result);\n    result	memoized_rebuilds.insert(node, None);\n    result
M4_deadlist只计数不改写	if let Some(&(_, new_slot)) = plan.get(&entry.version_index) {\n                entry.slot = new_slot;\n                deadlist_rewrites += 1;\n            }	if let Some(&(_, _new_slot)) = plan.get(&entry.version_index) {\n                deadlist_rewrites += 1;\n            }
# M5_销毁丢弃被转移条目：判定为等价变异——只销毁最旧者的轮换下被销毁者自己的 deadlist 恒空（等价性测试 oldest_first_rotation_means_own_deadlist_already_empty 留档），换 M5b 补位
M5b_销毁不传递prev	if let Some(next_snapshot) = self.snapshots.first_mut() {\n            next_snapshot.deadlist = kept;\n            next_snapshot.previous_snapshot_txg = destroyed_snapshot.previous_snapshot_txg;\n        }	if let Some(next_snapshot) = self.snapshots.first_mut() {\n            next_snapshot.deadlist = kept;\n        }
M6_销毁过滤方向反	if self.versions[entry.version_index as usize].birth > destroyed_snapshot.previous_snapshot_txg {	if self.versions[entry.version_index as usize].birth <= destroyed_snapshot.previous_snapshot_txg {
M7_映射树漏数叶层	let mut created_nodes = level.len() as u64;	let mut created_nodes = 0u64;
M8_负臂判据抄树审计	let by_interval = world.snapshot_references_by_interval(version_index);	let by_interval = by_tree.clone();
M9_审计不看deadlist	for snapshot in &world.snapshots {\n                for entry in &snapshot.deadlist {\n                    if old_slots.contains(&entry.slot) {\n                        stale_reference_count += 1;\n                    }\n                }\n            }	for snapshot in &world.snapshots {\n                let _ = &snapshot.deadlist;\n            }
M10_区间右边界写闭	.filter(|(_, snapshot)| version.birth <= snapshot.txg && snapshot.txg < version.death)	.filter(|(_, snapshot)| version.birth <= snapshot.txg && snapshot.txg <= version.death)
M11_搬迁不还旧槽	assert_eq!(world.occupant.remove(&old_slot), Some(version_index));\n        world.free_slots.insert(old_slot);	assert_eq!(world.occupant.remove(&old_slot), Some(version_index));
