组	旧事实	新事实	载体	原文
A3	C73（分配记录的态别没定） 的 map_provenance 分项号	C73（分配记录的态别没定） 的 map_provenance 分项号从 D18（块里携带什么信息） 已定项 3 改到已定项 5	.claude/kb/checks-owed.md:83	| C73 | 分配记录的态别没定 | **D3（空间分配） 已定项 1 逐字说分配记录是「某个落点此刻属不属于现行版本」这个谓词的**权威记录点**，而 D3（空间分配） 已定项 3 定它住一棵独立 keyspace 的 btree——按 D21（权威态与派生态的分界），树是**派生态**。⇒ 同一个结构一处说权威、一处的分类说派生，**没有一处收口**。它不是文字疏漏：重建路径能不能拿分配记录当见证者，直接取决于它是不是权威态（派生态的东西自己就要被重建，当不了见证）。**已收口（2026-09-03，用户定案）：分配记录是派生态**，权威记录在 D21（权威态与派生态的分界）已定项 5——「权威记录点」是运行时口径、态别是恢复口径，两句不矛盾 | **已还（2026-09-03）**：定案落 D21（权威态与派生态的分界）已定项 5。**留下的两笔新账**：① D18（块里携带什么信息）已定项 5 的 `map_provenance` 级 2 晋升失去见证者（派生态当不了见证），要另找见证或那一格重开；② 派生态要满足「损坏可检出」那条前提，分配记录的可检出机制还没有 | 无前置
A3	C73（分配记录的态别没定） 的 map_provenance 分项号	C73（分配记录的态别没定） 的 map_provenance 分项号从 D18（块里携带什么信息） 已定项 3 改到已定项 5	.claude/kb/decisions/03-空间分配.md:68	⚠️ **「权威记录点」是运行时口径，不是态别**（2026-09-03 用户定案收口 C73（分配记录的态别没定））：
A3	C73（分配记录的态别没定） 的 map_provenance 分项号	C73（分配记录的态别没定） 的 map_provenance 分项号从 D18（块里携带什么信息） 已定项 3 改到已定项 5	.claude/kb/decisions/18-块里携带什么信息.md:547	（D21（权威态与派生态的分界）已定项 5），而 C73（分配记录的态别没定）逐字写着
A3	C73（分配记录的态别没定） 的 map_provenance 分项号	C73（分配记录的态别没定） 的 map_provenance 分项号从 D18（块里携带什么信息） 已定项 3 改到已定项 5	.claude/kb/decisions/21-权威态与派生态的分界.md:436	⇒ C73（分配记录的态别没定）由此收口。
A3	C73（分配记录的态别没定） 的 map_provenance 分项号	C73（分配记录的态别没定） 的 map_provenance 分项号从 D18（块里携带什么信息） 已定项 3 改到已定项 5	.claude/kb/decisions/21-权威态与派生态的分界.md:448	| 3 | **它当不了见证者。** D18（块里携带什么信息）已定项 5 的 `map_provenance` 级 2 晋升，见证者原定是分配记录，而 C73（分配记录的态别没定）逐字写着「派生态的东西自己就要被重建，当不了见证」⇒ **级 2 晋升要另找见证，或者那一格重开**。级 1 与级 0 不受影响 |
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/checks-owed.md:297	| C323 | 镜像大小全仓没有条款 | 单元区的末端（镜像大小）全仓没有条款，而空闲字节、全空聚簇段数、碎片度 runs 三个统计量都要它（D5（快照 / 空间记账机制） 已定项 7 定容量 = 单元区）；E142（第一个事务的干跑） 按 mkfs 参数取 4 GiB 并在 `name=config` 里报出来（`device_bytes=4294967296`），[layout/01-first-txn.md](layout/01-first-txn.md) 五那一节的空闲 3 472 670 720 与 runs 4 都是这个预想的函数。它也是 C317（判决只在一个几何取样点上量过没有检查） 那一类：E142（第一个事务的干跑） 的几何（2 盘、4 GiB、槽距 4096）只有一个取样点 | mkfs 把镜像大小写进超级块（或按设备容量推出单元区末端）后，checker 用它复算三个统计量，对不上判红；E142（第一个事务的干跑） 补一行「几何敏感性」（换一个镜像大小重跑，三个统计量随之变、别的行不变） | 镜像大小进不进超级块字段表。⚠️ **2026-09-14 用户定案
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/experiments/142-第一个事务的干跑.md:181	| G22 | **仍欠着**：镜像大小（单元区的末端）全仓仍没有条款，而空闲字节、全空聚簇段数、碎片度 runs 三个统计量都要它。D23（journal 的角色与格式） 已定项 19 ③ 的「环 ≤ 设备容量 ÷ 4」只给出容量的**下界**、不给值 ⇒ 装置按 mkfs 参数取 4 GiB（1 GiB 装不下默认 768 MiB 的环）并在 `name=config` 里报出来；三个数随它变：空闲 3 472 670 720、全空聚簇段数 3310、runs 4 | D5（快照 / 空间记账机制） 已定项 7 / 已定项 8、D23（journal 的角色与格式） 已定项 19 | C323（镜像大小全仓没有条款） |
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/layout/01-first-txn.md:417	**仍标预想的取值**（不是格式空白，也不再等哪一次跑：E142（第一个事务的干跑） 第八次跑已按 4 GiB 取数，产物 `name=config` 逐字 `device_bytes=4294967296`，里程碑「第一个事务」2026-09-14 已出口；仍标预想，是因为镜像大小全仓没有条款，账在 C323（镜像大小全仓没有条款））：镜像大小 4 GiB（决定空闲字节与全空段数；4 GiB 这个下界由 D23（journal 的角色与格式） 已定项 19 ③ 的「环 ≤ 设备容量 ÷ 4」逼出）。extent 树带不带 key 区间 2026-09-14 已定（D18（块里携带什么信息） 已定项 2：全部码 2 节点无条件带），不再是预想。
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/milestone/01-first-txn.md:19	**现状（2026-09-14 开工）**：根 `Cargo.toml` workspace（排除 `research/`）+ 四个 crate：`crates/singlefs-format`（格式常量，带 `format-const:` 注与 `// placeholder:` 占位）、`crates/singlefs-core`（地址 newtype、块设备 trait 与文件后端）、`crates/singlefs-harness`（录制器与流的条数闸）、`crates/singlefs-checker`（骨架：判定宽度的「探到 / 声明」两态）。门禁多一道阶段「格式常量文件里的占位」（`.claude/gate.d/53-format-const-placeholders.sh`，样本在 fixtures），27 号阶段的常量同步扩到 `crates/`。验收三条：录制器条数闸的自证（`stream_count_gate_rejects_a_stream_that_lost_one_write`）、两种地址类型混用编译不过（`address` 模块的 `compile_fai
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/milestone/01-first-txn.md:99	**会碰到的决策点**：整单元校验和在无加密下用哪个字段、多宽（D4（校验和位置） 已定项 8）；落点这一格 D3（空间分配） 已定项 8 与 D14（双轨（大小文件 / 持久临时）） 已定项 2 都已定（2026-09-13），这一步碰的是它们的运行时计数，以及 2026-09-13 总审核立、同日定案的 D3（空间分配） 已定项 10（聚簇段的定义、「不在开放段」那条合取、32 KiB 单元的取法、固定结构区怎么挡住分配器）、D3（空间分配） 已定项 11（分配记录跨度段归 key 还是 value）、D5（快照 / 空间记账机制） 已定项 7（已分配字节含不含固定结构）、D18（块里携带什么信息） 已定项 16（28 字节预留位的开关，码 1 载荷从哪起）；C323（镜像大小全仓没有条款）（空闲字节与全空段数是它的函数）。
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/milestone/02-second-txn.md:86	**会碰到的决策点**：D13（验证路线） 已定项 4（枚举规模）；D17（实现分层与第三方管道） 已定项 2（段序列登记表是提交步骤唯一的登记位）；C323（镜像大小全仓没有条款）；C42（残留记录冒充合法前缀）。
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/milestone/02-second-txn.md:369	- 不收口 C323（镜像大小全仓没有条款）：探测容量与盘上统计量谁核，不在这个里程碑
A4	C323（镜像大小全仓没有条款） 的行首	C323（镜像大小全仓没有条款） 行首按今天的 4 GiB 与产物读数改	.claude/kb/milestone/02-second-txn.md:522	**会碰到的决策点**：D17（实现分层与第三方管道） 已定项 5（块设备抽象的动作清单）；D23（journal 的角色与格式） 已定项 19 ③；C6（块层语义假设写错）；C26（屏障数从没量过）；C323（镜像大小全仓没有条款）。
