M1_append两组间空隙取0	&[((backlog_generations - 1.0) * released_units).max(0.0)])	&[0.0_f64])
M2_append的K5不加倍	AllocationVariant::ReleaseAppendOnly => 2.0 * (previous_written_units + distinct_data_units_touched) + extra_release_only_insertions_total,	AllocationVariant::ReleaseAppendOnly => previous_written_units + distinct_data_units_touched + extra_release_only_insertions_total,
M3_append只改K5释放仍走基线几何	if let AllocationVariant::ReleaseAppendOnly = variant {	if false {
M4_epoch时期分布写反	let expected_count_at_generation = node_units * touch_fraction * decay_ratio.powi(generation as i32 - 1);	let expected_count_at_generation = node_units * decay_ratio * touch_fraction.powi(generation as i32 - 1);
M5_epoch不切块n_p恒1	let piece_count = match cluster_segment_slots {\n        None => 1.0,\n        Some(segment_slots) => (bump_unit_count / segment_slots).ceil().max(1.0),\n    };	let piece_count = match cluster_segment_slots {\n        None => 1.0,\n        Some(_) => 1.0,\n    };
M6_epoch块长取64不取S除n_p	let piece_size = bump_unit_count / piece_count;	let piece_size = CLUSTER_SEGMENT_SLOTS as f64;
M7_epoch泊松换成掷球公式	touched_pieces += piece_count * (1.0 - (-relative_to_piece_count).exp());	touched_pieces += piece_count * (1.0 - (1.0 - 1.0 / piece_count).powf(expected_count_at_generation));
M8_epoch不看落点也用在seq	if policy == PositionPolicy::Balanced && placement == Placement::Random {	if true {
M9_WAL的S不加I_node	let bump_unit_count = previous_written_units + extra_allocation_release_insertions_node;	let bump_unit_count = previous_written_units;
M10_代际展开不冻q	let per_device = allocation_tree_dirty_this_layer_by_variant(variant, region, cov, bumped_node_units, 0.0, 0.0, 0.0, Placement::Random, PositionPolicy::Balanced, touch_fraction, bump_unit_count, 24.0);	let per_device = allocation_tree_dirty_this_layer_by_variant(variant, region, cov, bumped_node_units, 0.0, 0.0, 0.0, Placement::Random, PositionPolicy::Balanced, 0.0, bump_unit_count, 24.0);
M11_代际展开也带阻尼	xs.push(DEVICE_COUNT as f64 * per_device);	xs.push(0.15 * DEVICE_COUNT as f64 * per_device + 0.85 * xs[xs.len() - 1]);
M12_T记录时写回了求解器状态	if record_rounds {\n            round_records.push(RoundRecord { raw_allocation_layer0_dirty, raw_mapping_layer0_dirty: *mapping_dirty_now.first().unwrap_or(&0.0) });\n        }	if record_rounds {\n            round_records.push(RoundRecord { raw_allocation_layer0_dirty, raw_mapping_layer0_dirty: *mapping_dirty_now.first().unwrap_or(&0.0) });\n            previous_written_units = raw_allocation_layer0_dirty;\n        }
M13_第5行的rho不接写法开关	fn path_ratio_readings_with_variant(shape: PoolShape, variant: AllocationVariant) -> (f64, f64, f64, u64, u64) {\n    let outcome = solve_jia_publish_with_variant(shape, variant, MAIN_DAMPING_ALPHA, MAIN_MAXIMUM_ITERATIONS, false);	fn path_ratio_readings_with_variant(shape: PoolShape, variant: AllocationVariant) -> (f64, f64, f64, u64, u64) {\n    let outcome = solve_jia_publish_with_variant(shape, AllocationVariant::Baseline, MAIN_DAMPING_ALPHA, MAIN_MAXIMUM_ITERATIONS, false);
M14_SQ里记账树表的q_src取0	const FULLY_REWRITTEN_TOUCH_FRACTION: f64 = 1.0;	const FULLY_REWRITTEN_TOUCH_FRACTION: f64 = 0.0;
