数据块也认为无头	if unit.is_metadata { arm.header_on_metadata } else { arm.header_on_data }	if unit.is_metadata { arm.header_on_metadata } else { false }
块头少一个字段	const ALL_HEADER: [PlaintextField; 5] = [PlaintextField::Kind, PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor];	const ALL_HEADER: [PlaintextField; 4] = [PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor];
映射层少了密文校验和	const ALL_MAPPING: [PlaintextField; 7] = [PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor, PlaintextField::Dev, PlaintextField::Off, PlaintextField::CiphertextChecksum];	const ALL_MAPPING: [PlaintextField; 6] = [PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor, PlaintextField::Dev, PlaintextField::Off];
扫描不再天然知道落点	    if arm.scan_supplies_physical {\n        known_fields.insert(PlaintextField::Dev);\n        known_fields.insert(PlaintextField::Off);\n    }\n    known_fields.insert(PlaintextField::CiphertextChecksum);	    known_fields.insert(PlaintextField::CiphertextChecksum);
阳性对照不再补类型标签	if arm.mapping_carries_kind {\n        mapping_fields.insert(PlaintextField::Kind);\n    }	if false {\n        mapping_fields.insert(PlaintextField::Kind);\n    }
缺口按单元数漏计	if !missing_fields.is_empty() {\n            gap.units += 1;\n        }	if false {\n            gap.units += 1;\n        }
逐字段缺口改成只记一个	gap.fields += missing_fields.len();	gap.fields += if missing_fields.is_empty() { 0 } else { 1 };
两个方向搞反	let (known, want) = if is_rebuilding_mapping_from_header {	let (known, want) = if !is_rebuilding_mapping_from_header {
差集算成交集	want.difference(known).copied().collect()	want.intersection(known).copied().collect()
对称臂顺手把类型标签也给了	    if arm.symmetric_free_inputs {\n        known_fields.insert(PlaintextField::CiphertextChecksum);\n    }	    if arm.symmetric_free_inputs {\n        known_fields.insert(PlaintextField::CiphertextChecksum);\n        known_fields.insert(PlaintextField::Kind);\n    }
免费输入跑到映射层之外	const ALL_MAPPING: [PlaintextField; 7] = [PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor, PlaintextField::Dev, PlaintextField::Off, PlaintextField::CiphertextChecksum];	const ALL_MAPPING: [PlaintextField; 7] = [PlaintextField::Tree, PlaintextField::Obj, PlaintextField::Birth, PlaintextField::Anchor, PlaintextField::Dev, PlaintextField::Off, PlaintextField::Kind];
己臂偷偷拿回物理落点	    if arm.scan_supplies_physical {\n        known_fields.insert(PlaintextField::Dev);\n        known_fields.insert(PlaintextField::Off);\n    }	    {\n        known_fields.insert(PlaintextField::Dev);\n        known_fields.insert(PlaintextField::Off);\n    }
判定表第一格与第二格互换	        (true, false) => "权威落在 D18：映射层可从块头重建，反向不可（判据 3）",\n        (false, true) => "权威落在 D9：块头可从映射层重建，反向不可（判据 3 的镜像）",	        (true, false) => "权威落在 D9：块头可从映射层重建，反向不可（判据 3 的镜像）",\n        (false, true) => "权威落在 D18：映射层可从块头重建，反向不可（判据 3）",
按字段拆那一格被吞掉	        (false, false) => "两向都有缺口，权威要按字段拆（判据 4）",	        (false, false) => "两向都通，权威可任选（判据 4）",
