组	旧事实	新事实	载体	原文
F2	C46（门禁阶段自己不会红） 仍欠 8 个阶段的样本（15-research-build、21-decision-items-sync、70-citations、87-replay 前置是真的；47、52、54、55 号在各自脚本头部写明为什么装不进沙箱）	C46（门禁阶段自己不会红） 仍欠 4 个阶段的样本（15-research-build、87-replay 前置是真的；47、54 号在各自脚本头部写明为什么装不进沙箱），名单以上游样本自检每轮列出的「仍未自检」为准，不在这里抄	.claude/kb/checks-owed.md:48	| C46 | 门禁阶段自己不会红 | **一个恒绿的门禁阶段与一条真的在跑的检查，在门禁输出里长得一模一样。** 上游的「门禁判别力」阶段只覆盖 `doc-lint.sh`，够不着 `.claude/gate.d/` 这一批项目本地阶段 | **已还一半（2026-08-29 复跑复核轮）**：拿 `.claude/gate.d/fixtures/<阶段名>/{red,green}/` 的样本喂给每个阶段，判退出码 + 失败信息里必须出现的片段；没有样本的阶段**显式列成「未自检」**，不许当成通过。判别力已证：把 `30-decision-history.sh` 换回带 bug 的那一版 ⇒ 判红并逐条指出，换回修好的 ⇒ 回绿。⚠️ **它 2026-09-21 随 SOP 0.0.56 收归上游**，脚本是 `.claude/singlefs-ai-sop/scripts/stage-selftest.sh`，由共享 `gate.sh` 第 258 行把 `.claude/gate.d` 当位置参数传给它；本地那份 `89-stage-selftest.sh` 同日删掉。⚠️ 
F6	`.claude/gate.d/10-kb-rot.sh` 第 3 项（已跑实验的状态变动有没有同批动决策）只在 `decisions.md` 索引页里找实验引用，匹配不到 `decisions/*.md` 与 `decisions-history.md`，除个别实验外每个都在第一步 `continue`，既不算 ok 也不算 bad，末尾照样报绿（C114）	门禁 10 号撤掉第 3 节（剩三节），「已跑实验的状态变动有没有同批动决策」并进 75 号第 ⑤ 条后一半与第 ⑨ 条	.claude/kb/checks-owed.md:111	| C114 | 10 号阶段第 3 项只扫索引页 | `.claude/gate.d/10-kb-rot.sh` 第 3 项（已跑实验的状态变动有没有同批动决策）只在 `decisions.md` 索引页里找实验引用（全仓只有 E97（记账与分配记录的条目编码） 出现在那里），提交判据 `grep -q "decisions.md"` 又匹配不到 `decisions/*.md` 与 `decisions-history.md` ⇒ 除 E97（记账与分配记录的条目编码） 外每个实验都在第一步 `continue`，既不算 ok 也不算 bad，末尾照样报绿。E103（inode 打包路 ① 的更新代价） 第三臂两次改数、决策正文若没跟上，它一次都不会红 | 第 57 行的搜索范围改成索引页加 `decisions/*.md`，第 61 行判「提交动过 `decisions/` 目录下任一文件」；改完对全部已跑实验复跑一遍，红的逐个看是真漂移还是历史提交形态 | 无 | 2026-09-05 D8（核心索引结构） 已定项 6 第三轮正推腿 7.2 实测 |
F6	`.claude/gate.d/10-kb-rot.sh` 第 3 项（已跑实验的状态变动有没有同批动决策）只在 `decisions.md` 索引页里找实验引用，匹配不到 `decisions/*.md` 与 `decisions-history.md`，除个别实验外每个都在第一步 `continue`，既不算 ok 也不算 bad，末尾照样报绿（C114）	门禁 10 号撤掉第 3 节（剩三节），「已跑实验的状态变动有没有同批动决策」并进 75 号第 ⑤ 条后一半与第 ⑨ 条	records/2026-09-05-SOP剥离轮.md:27	| 扫到 0 项不是通过 | `gate-lint` 第三条：扫一批对象的脚本，成功摘要要报出检查了多少项 | C114（10 号阶段第 3 项只扫索引页）——每个对象都在第一步 `continue`，末尾照样报绿 |
F7	门禁 75 号把依据段里任何 `E<号>（` 形式都当成一条引用，「无实验」那一段里出现实验编号会被误判双向不对称；不认粗体、反引号、空格、半角括号这类写法	门禁 75 号认粗体、反引号、空格、半角括号写法的实验引用；搬家的实验页按实验号找基准里的标题；作废 / 退役的写法放宽；新增行的取法带 --no-renames --no-color --no-ext-diff	.claude/kb/checks-owed.md:462	| C520 | 75 号只认状态段恰好是已跑 | 实验改成已跑时，标题状态写成「已跑两轮」「已测」「**已跑**」「已跑 (…)」「已跑：…」这类跑完了的写法，门禁 75 号 ⑤ 后一半（改成已跑就要回看引了它的决策）不触发，欠账块里等它的决策没人回看；真仓有 8 页用这类写法（名单见 `research/prompts/gate-fix-forks-r3-opus-model/t1-titles.out` 第 3–10 行），门禁 40 号却把它们认作跑过 | 75 号与 40 号共用一个「跑过了」的谓词；红样本放这几种写法各一页、欠账块里等它的决策没回看，判红 | 定「跑过了」的全部写法（部分已跑、已跑但结论作废仍不算） | 三方判决 `research/prompts/gate-fix-forks-r3-main-verification.md`「75 号 ⑤ 后一半、10 号并进 ⑨」一节表里状态写法那一行 |
F7	门禁 75 号把依据段里任何 `E<号>（` 形式都当成一条引用，「无实验」那一段里出现实验编号会被误判双向不对称；不认粗体、反引号、空格、半角括号这类写法	门禁 75 号认粗体、反引号、空格、半角括号写法的实验引用；搬家的实验页按实验号找基准里的标题；作废 / 退役的写法放宽；新增行的取法带 --no-renames --no-color --no-ext-diff	records/2026-09-19-决策瘦身与双向登记.md:161	3. **「无实验」那一段里也不许出现实验编号**：门禁 75 号把依据段里任何 `E<号>（` 都当成一条引用，会判双向不对称。
F8	门禁 40 号新加的第三道只扫 `.claude/kb/experiments.md` 与实验页里的产物引用，够不着 `research/prompts/` 下判决里的模型引用（C440）；40、88 号找新增行、61 号找未跟踪的决策文件都没有用共用脚本	门禁 61 号改用共用脚本（未跟踪的决策文件也算，git diff 带 --no-color --no-ext-diff）；40、88 号改用共用脚本取新增行，认 HEAD 树里的归档产物	.claude/kb/checks-owed.md:390	| C440 | 判决点名的模型目录归档后正文没说清 | 三方判决写「模型目录 `c381-r2-opus-model/`（10 个文件）」（C381（根已落盘之后发布失败，分配器仍退回） 第二轮），归档删掉其中 8 份之后 `ls` 出来只剩 2 份，而正文那句没变——读的人会以为丢了。门禁 40 号新加的第三道只扫 `.claude/kb/experiments.md` 与实验页里的产物引用，够不着 `research/prompts/` 下判决里的模型引用（singlefs-0c 2026-09-21 指出，两份判决已手改成写明哪些在树里、哪些取法是什么） | 判据与 40 号第三道同形：点名的东西要么在树里、要么取得回来，正文还要说清是哪一种。先不扩射程（判决少、归档触及的更少），扩之前要先定判决里「点名一个目录」怎么算 | 无 | 2026-09-21 singlefs-0c 核归档删掉的 C381（根已落盘之后发布失败，分配器仍退回） 模型目录时指出 |
F8	门禁 40 号新加的第三道只扫 `.claude/kb/experiments.md` 与实验页里的产物引用，够不着 `research/prompts/` 下判决里的模型引用（C440）；40、88 号找新增行、61 号找未跟踪的决策文件都没有用共用脚本	门禁 61 号改用共用脚本（未跟踪的决策文件也算，git diff 带 --no-color --no-ext-diff）；40、88 号改用共用脚本取新增行，认 HEAD 树里的归档产物	.claude/kb/checks-owed.md:464	| C522 | amend 抹掉产物时 40、88 号放过一次 | 门禁 40、88 号把「HEAD 里还在、工作区删了」的产物算找得到（这一批照归档规则删上一次提交留下的产物）；误删的产物经 `git commit --amend` 从所有提交里抹掉时，amend 之前那一次两道都放过，amend 之后才红 | 分得开「归档删的」与「误删的」再认；红样本造一段「本地提交带一份产物、工作区误删、准备 amend」的历史，判红 | 归档的删除要有可认的记录（归档脚本留一份清单），「只在 HEAD 已推出去时才认」这条改法会让「提交了没推、这一批归档上一次提交的产物」重新误红，不采 | 三方判决 `research/prompts/gate-fix-forks-r3-main-verification.md`「二、逐格判定」里 `git commit --amend` 抹掉产物那一行 |
F9b	上游样本自检脚本已经把「无对象可判」记成不是「判绿」「通过」，但门禁 15、28、32、35、48、60 等项目本地阶段「无对象可判」时退出码仍是 0	门禁 15、28、32、35、48、60 等阶段「无对象可判」从退 0 改成退 77，与「无对象可判」不算通过的记法一致	.claude/kb/checks-owed.md:48	| C46 | 门禁阶段自己不会红 | **一个恒绿的门禁阶段与一条真的在跑的检查，在门禁输出里长得一模一样。** 上游的「门禁判别力」阶段只覆盖 `doc-lint.sh`，够不着 `.claude/gate.d/` 这一批项目本地阶段 | **已还一半（2026-08-29 复跑复核轮）**：拿 `.claude/gate.d/fixtures/<阶段名>/{red,green}/` 的样本喂给每个阶段，判退出码 + 失败信息里必须出现的片段；没有样本的阶段**显式列成「未自检」**，不许当成通过。判别力已证：把 `30-decision-history.sh` 换回带 bug 的那一版 ⇒ 判红并逐条指出，换回修好的 ⇒ 回绿。⚠️ **它 2026-09-21 随 SOP 0.0.56 收归上游**，脚本是 `.claude/singlefs-ai-sop/scripts/stage-selftest.sh`，由共享 `gate.sh` 第 258 行把 `.claude/gate.d` 当位置参数传给它；本地那份 `89-stage-selftest.sh` 同日删掉。⚠️ 
F12	`.claude/agent-common.md` 第 4 行与 `.claude/rules/implementation-workflow.md` 第 18 行都写「门禁 71 号判这一条」	两处都改写成「上游门禁的『规则纪律（项目本地）』阶段判这一条」（agent-common.md 后缀改成规则出处，implementation-workflow.md 后缀改成「rules-lint 扫这三处」）	.claude/agent-common.md:4	这份与各份定义只写怎么做：步骤、约束、判据、交付。「为什么」「实测」「经过」与带日期的记录写进 `records/2026-09-16-subagent拆分提案.md` 或 `.claude/kb/`，这里不写、也不留解释的尾巴；要用到那些内容时写成一条读取指令（「开工先读：`文件`「小节」」）。上游门禁的「规则纪律（项目本地）」阶段判这一条（规则：`.claude/rules/implementation-workflow.md`「改 agent 定义与共用约束，走同一条三步」）。
F12	`.claude/agent-common.md` 第 4 行与 `.claude/rules/implementation-workflow.md` 第 18 行都写「门禁 71 号判这一条」	两处都改写成「上游门禁的『规则纪律（项目本地）』阶段判这一条」（agent-common.md 后缀改成规则出处，implementation-workflow.md 后缀改成「rules-lint 扫这三处」）	.claude/rules/implementation-workflow.md:18	**定义是工作流，不是说明**：`.claude/agents/`、`.claude/agent-common.md`、`.claude/main-agent.md` 只写怎么做——步骤、约束、判据、交付。为什么与是什么归 kb 自己管（`.claude/kb/`、`records/`），定义里不写、也不为它留解释的尾巴；要用到那些东西时，写成一条指令：「开工先读 `.claude/kb/<某份>` 的〈某节〉」。上游门禁的「规则纪律（项目本地）」阶段判这一条（rules-lint 扫这三处）。
