# 门禁阶段归属：每个项目本地阶段先由哪个 agent 在干完自己的活之后跑。提交前的整轮门禁（gate-triage）照旧跑全部阶段。
# 三列用制表符分隔：阶段文件名、agent 名（逗号分隔，每个名字要有 .claude/agents/<名字>.md）、为什么归它。
# 表与目录、定义逐项一致由 62-stage-owners.sh 判；各 agent 怎么从表里取自己的阶段，见 .claude/agent-common.md「门禁」。
10-kb-rot.sh	kb-scribe	kb 内部的引用、结论与条数
11-batch-scope.sh	gate-triage	这一批的触发文件有没有登记进 .claude/batch-scope：判据是暂存区，而暂存与提交归主 agent，跑整轮门禁的分诊先替它看一眼
12-no-prime-marks.sh	gate-triage	全仓不许用角标写法给变体起名：谁写文件都可能写进一撇，收尾跑整轮门禁时一并判
15-research-build.sh	gate-triage	research 构建与单测（全工作区十几分钟，2026-09-17 从 experiment-runner 挪到收尾：执行员前台等它会让缓存过期、整份上下文重写）
16-freeze-layer-membership.sh	kb-scribe	冻结层归属登记表是 kb：每个结构的行、态别与退不退出冻结、依据分项都由书记员写回，写完就跑
20-kb-shape.sh	kb-scribe	kb 用词、指代、链接、条数与标题
21-decision-items-sync.sh	kb-scribe	决策分项清单与正文
22-item-ref-status.sh	kb-scribe	分项引用写的状态
24-status-redundancy.sh	kb-scribe	分项状态重复标注
27-format-constants.sh	kb-scribe,experiment-runner	kb 登记的格式常量与实验源码两边
28-cross-decision-status.sh	kb-scribe	跨决策的未定说法
29-settled-item-self-open.sh	kb-scribe	已定分项自称没定
30-decision-history.sh	kb-scribe	决策变更留痕
31-blocking-verdict.sh	kb-scribe	未定项两把尺判没判过：挡不挡第一个事务、动不动格式
32-first-txn-fields.sh	kb-scribe	字节表字段指向真实分项
33-mutation-tables.sh	experiment-runner,kb-scribe,implementation-writer	实验二进制有同名变异表；relabel-item.py 改写实验源码之后锚点会腐化，书记员也跑；crates/mutations.tsv 的锚点也归它数，改 crates/ 的实现员改完就跑（59 号要几个钟头，实现员不跑）
34-experiment-index-sync.sh	experiment-runner	实验索引行与正文标题
35-user-verdict-owed.sh	kb-scribe	动了用户定案要记欠账
36-invariant-count-cross-file.sh	kb-scribe	不变量条数跨文件
37-decision-summary-width.sh	kb-scribe	决策索引结论列宽度
38-field-table-projection.sh	kb-scribe	决策里定的字段投影进字节表
39-field-table-sum.sh	kb-scribe	字段表合计、表前说明句里的总宽与增量、字节布局表里结构总宽的登记：都是 kb 正文里的数，写回的人改完就跑
40-results-cited.sh	experiment-runner	实验产物写回
42-first-txn-trio.sh	kb-scribe	字节表、里程碑、决策索引三份互相挂钩
43-owed-table-shape.sh	kb-scribe	欠账表行形状
44-settled-ref-says-open.sh	kb-scribe	已定项引用紧跟着说没定
47-research-script-selftests.sh	three-way-materials	材料员用的抽取脚本与本地腿脚本的自证
48-history-month-file.sh	kb-scribe	变更史条目住在所在月
49-history-brief.sh	kb-scribe	变更史快查与原文
50-rules-manifest.sh	gate-triage	看 CLAUDE.md 的规则引用
51-admission-terms-covered.sh	kb-scribe	准入不等式各项有人维护
52-segment-registry.sh	kb-scribe,experiment-runner	字节表段序列登记与 E142 产物两边
53-format-const-placeholders.sh	implementation-writer,kb-scribe	crates 常量文件的占位与 kb 分项两边
54-layer0-replay.sh	crash-verifier	层 0 崩溃点重放
55-qemu-first-transaction.sh	crash-verifier	QEMU 真设备
56-crates-adversarial-review.sh	gate-triage	判决文件由主 agent 写，提交前核点名
57-lkmm.sh	crash-verifier	herd7 内存序
58-implementation-premise.sh	three-way-materials	三方正文是材料员的输入
59-crates-mutation-replay.sh	crash-verifier	crates 变异表复跑
60-stale-open-items.sh	kb-scribe	未定项被别处定了
61-settled-same-file.sh	kb-scribe	定了新东西之后回看同文件未定项
62-stage-owners.sh	gate-triage	本表与门禁目录、agent 定义
70-citations.sh	kb-scribe,prior-art	外部引用还核得动；写进 kb 的是书记员，查源码树的是调研员
80-absolute-assertions.sh	experiment-runner	实验钉绝对值的断言
85-repro-command.sh	experiment-runner	实验复跑命令
86-experiment-orphans.sh	experiment-runner	实验号在 kb 里有正文
