组	旧事实	新事实	载体	原文
F2	C381（根已落盘之后发布失败，分配器仍退回）只跑了第一轮三方判决，第二轮待派	C381 第二、三轮三方均已跑完（材料 _c381-r2-*、_c381-r3-*），checks-owed.md 与里程碑收口表第 40 行仍写「第二轮待派」，结论尚未按新轮次回填	.claude/kb/checks-owed.md:341	| C381 | 根已落盘之后发布失败，分配器仍退回 | 发布的持久顺序是根记录 FUA 之后再转系统配置槽；系统配置槽那一步失败时根已落盘，恢复会选中它，而发布路径把分配器整个退回到这次发布之前（`crates/singlefs-core/src/transaction.rs` 第 1221、1258 行）；同一个写入口接着发下一次发布会把这次占过的槽再分出去，写到一半断电就把已落盘的根引用的单元盖掉（代码三方第二轮攻方：checker 五条红、重开读不出单元） | 造「系统配置槽写失败 → 同一个写入口发一次空发布、单元写完记录与根没写时断电」这段历史，恢复之后 checker 全绿、重开成功——今天 checker 五条红、重开报 `Recovery(UnitUnreadable)`；判别力自证：原样重试同内容的那条对照今天就绿 | D16（发布语义） 已定项 7 的失败语义要先定：根落盘之后的失败算不算这次发布成立，失败之后这个写入口还许不许接着发布；2026-09-18 用户定走三方立题。第一轮 2026-09-19 已判（`research/prompts/c381-r1-
F2	C381（根已落盘之后发布失败，分配器仍退回）只跑了第一轮三方判决，第二轮待派	C381 第二、三轮三方均已跑完（材料 _c381-r2-*、_c381-r3-*），checks-owed.md 与里程碑收口表第 40 行仍写「第二轮待派」，结论尚未按新轮次回填	.claude/kb/milestone/02-second-txn.md:378	| 40 | 发布在最后一步（系统配置槽）失败时根已 FUA 落盘，分配器照样退回：同一个写入口换发一次空发布、再断电之后 checker 五条红（I-2.1（校验和与内容匹配）、I-3.1（已分配统计对得上）、I-4.8（近 K 代根校验和自洽）、I-7.2（最新根可完整遍历）、I-7.4（近 K 代块未被复用）），重开报 `Recovery(UnitUnreadable)`；原样重试同内容不中 | 正确性缺陷（代码三方第二轮攻方打中；病根在失败语义：`transaction.rs` 第 1221 行注释引 D16（发布语义） 已定项 7「这次发布没有成立」，而恢复会选中已落盘的根） | 不等 | 不挡第二波代码改动的课题，另立 C381（根已落盘之后发布失败，分配器仍退回）；2026-09-18 用户定：立题走三方再定（牵涉 D16（发布语义） 已定项 7「这次发布没有成立」的定义），但不马上开，等第二波收口之后开。第一轮 2026-09-19 已判（`research/prompts/c381-r1-main-verification.md`）：今天的「一律退回」在攻方原历史与这
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:62	| C54 | 摊销结构没进稳态就取数 | **一个带缓冲的结构，缓冲总容量可以超过整个负载**，于是量到的是「把消息塞进缓冲的成本」而不是稳态写放大——账还没到期 | 判据要**跑之前就能算**：`总缓冲容量 ÷ 负载` 超过阈值（本工程取 25%）即判该档不可用，容量由几何直接算得。⚠️ **不许用事后的「残留净增」当判据**——2026-08-31 实测那个量主要是相位噪声不是净填充：父节点向全部孩子均匀分发 ⇒ 孩子们同步填满、同步下刷，一次快照抓到的是同一个相位，振幅约等于总缓冲容量（nleaf=8192、ε=0.9 上残留从 41,445 跳到 153,950，差 56% 的负载，而同一配置 ε=0.5 只差 1.2%） | 无前置，纯欠工 | 2026-08-31 实测：E56（消息缓冲的收益 vs ε） 在 nleaf=8192、ε≥0.9 上残留 **100%**——20 万条消息一条都没到过叶子，而总缓冲容量约 50 万条。不加这道闸时那几档给出 25–41 倍，是「没付的账」被算成了「省下的钱」。由反推腿指出，在大树上从局部问题变成全额 |
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:88	| C81 | 条带部分释放没有规则 | **规则已定（2026-09-02，D2（RAID 条带策略）已定项 11：部分条带钉住、后台惰性重落、修复前成员格不得复用），欠的是会红的检查**（立账时该格零覆盖，故原文写「全仓没有一条」）。E80（条带的部分释放）实测：放任复用 ⇒ 单盘失效平均丢 9.8–13.0 个活单元（最坏盘 24–34 / 288）且**盘坏之前无任何报错**；条带死透才回收（bcachefs 形态）丢 0 但钉住活数据 36.5–45.5%（落点恰是 D5（快照 / 空间记账机制）已定项 4 的「不可回收」统计量）；死一个就搬幸存者丢 0 但写放大 +64–66%。⚠️ **w=2 对照全零 ⇒ 第一版 2 盘的全部测试对它全盲**。连带一格同样无落点：**parity 列的位置与发现机制**——重建要找齐 w−1 个兄弟列，而位置条目只记自己的列 | 规则定案后镜像侧可判：「任一活单元的条带成员（含 parity）要么字节原始、要么整条带死透」，故障注入自证照 E80（条带的部分释放）的手算锚点造（释放一列、复用、坏另一列，丢失计数必须恰 1） | D2（R
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:91	| C84 | 墓碑单元的粒度没人定 | D18（块里携带什么信息）已定项 8 定了「删除写墓碑单元」，**没定一次删除写几个墓碑（每 key？每对象？每批共享一个单元？）**，回收规则也自陈未答；D3（空间分配）已定项 2 自陈「一次删除写几个墓碑、能不能批量摊、盘满时删得动删不动，一个数都没有」。若每 unlink 一个 32 KiB 单元 × w=2，删一个 1 字节文件物理写 64 KiB，批量删除的墓碑写放大无上界 | **量化已还（2026-09-02）**：E83（墓碑的粒度）算清四种组合——每记录独占单元时 rm -rf 百万文件物理写 **62.5 GiB**（不可用的形态）；区间记录 + 打包共享单元 583× 便宜（107 MiB），truncate 上再差 4096 倍；⚠️ 打包把回收耦合成 E80（条带的部分释放）那个钉住形状，量化欠回收规则。**决策已落（2026-09-02）：D18（块里携带什么信息）已定项 10**（区间记录 + 打包共享单元；回收规则初值「随 deadlist 节奏清」）。**钉住量已量（2026-09-02）**：E84（打包墓碑
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:108	| C105 | 打包容器按发布频率重写的写放大 | 开放容器在它所属代际内每次要发布时被 COW 重写（D16（发布语义） 已定项 7：fsync 等根槽持久），而 E83（墓碑的粒度） 的模型把一个容器当成恰好一次写。第二轮正推腿算：1000 文件、每 10 个 fsync 一次 ⇒ 100 × 32 KiB × 2 ≈ 6.25 MiB，是 E83（墓碑的粒度） 单次批量口径（128 KiB）的约 50 倍，不含容器索引与 journal；稀疏删除时每次带删除的发布至少写一个容器。类型 2（inode 记录）的口径 2026-09-05 起由 E103（inode 打包路 ① 的更新代价） 第三臂给出：每次发布重写被碰到的叶，k = 1 时 131072 字节（1e6，头 58），与路 ① 逐格相同 | E83（墓碑的粒度） 加一条「按发布次数」的臂：物理写字节 = 发布次数 × 32768 × w，与批量臂并列报绝对值；块层 trace 判「单次 fsync 的墓碑容器字节 ≤ 声明值」（与 C84（墓碑单元的粒度没人定） 的单次 unlink 预算互引）；「快照发布之前先关闭
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:112	| C109 | 哪些树的 key 死亡要写墓碑 | D18（块里携带什么信息） 已定项 8 / 10 的字面只覆盖 extent 区间记录；一次 unlink 还要删 dirent / inode / 反向索引树的 key，E59（缓冲消息能不能只从单元重算） 的负载是 16 棵树、「已删的 key 全数复活」对每棵树都成立；哪些树的 key 死亡要写墓碑、记录取什么字段、算不算进 C105（打包容器按发布频率重写的写放大） 的倍数，全仓未写。inode 树（打包记录类型 2）2026-09-05 已答：记录死亡不写墓碑，死亡由现行叶版本体现，择现行压在 C113（扫描重建时多版单元的现行版本判定无输入）（D8（核心索引结构） 已定项 6） | D18（块里携带什么信息） 补分项：逐树列「死亡要不要墓碑、记录字段」；E59（缓冲消息能不能只从单元重算） 按树分别报复活数；漏一棵即红 | 无（先列全部 keyspace） | 2026-09-04 第二轮正推腿场景一 |
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:162	| C174 | smallfile 那一行的三列没测 | **D25（目标负载优先级） 2026-09-07 加的 `smallfile 小文件密集` 那一行，叶/fsync、脊柱、每次 fsync 的写放大三列都是「未测」。** D25（目标负载优先级） 负载表这三列的口径来自 E16（journal 的角色：WAL vs 意图日志） 的叶/fsync 模型，而 E114（小数据打包容器的总账） 量的是对象大小与每次发布落多少个小对象，两者不同轴 ⇒ 不能互填。三列空着的后果：任何拿「小文件负载下写放大多少」去论证的推导今天都没有输入 | 照 E16（journal 的角色：WAL vs 意图日志） 的口径给 smallfile 加一档负载重跑，报三列的绝对值；判别力自证：把小对象数设成 1 时它必须退化到与 rand 那一行同量级 | E16（journal 的角色：WAL vs 意图日志） 的装置在（纯模型） | 2026-09-07 D25（目标负载优先级） 加行时同步立账 |
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/checks-owed.md:168	| C95 | 依据被撤回的已定项无人回看 | **一条已定项所依据的实验结论被撤回或证伪之后，它照旧挂着「已定」，没人回头判它还站不站得住。** 实测就在仓里：E38（记账结构 COW 还是原地） 的恢复代价列 2026-08-30 撤回，D22（单元原子性怎么合成） 已定项 3 从此只剩 mkfs 预留一条腿；那条腿的原地臂形态 2026-09-03 又被判为稻草人（静态地址映射全量预留，而原地方案真正的形态是首次使用时动态分配、此后地址不变）；而该实验唯一测过的写放大轴指向反面（D25（目标负载优先级） 粗粒度下 COW 贵 25–37.5%）。**三件事各自都记下来了，没有一处把它们合起来问「这条已定项现在还有依据吗」**。⚠️ **第二笔同型，2026-09-09 记，射程要从「实验 → 分项」扩到「决策条款 → 它引的决策条款」**：D21（权威态与派生态的分界） 已定项 3 ① 的依据 2026-09-06 被撤回，撤回的理由是它与「无密钥的一侧要能搬」互斥；而 D9（加密） 已定项 5 于 2026-09-07 改取「只做 scrub」（逐字「加密开启时，无密钥的一侧只
F3	增补 1 第 4 件（写放大）只判了第一轮三方（m2-s1-r1），三条岔路未定，E155 在跑第二次	增补 1 第 4 件两轮三方均已判完（m2-s1-r1、m2-s1-r2），结论三条岔路收成「甲（不改）」、决策正文不动，其中第一轮打中的一处被翻掉（施加单位那一格自己改不掉只对 W2 成立），三格已交用户定，E155 跑到第四次跑第一段	.claude/kb/decisions/02-RAID条带策略.md:203	| 每次发布写字节 ÷「`w` 恒 2 全镜像」 | 主负载**期望 0.9531**（省 4.7%）；容器将满那一格 1.050 | E110（条带表在连续发布下的期望写放大） |
