编号	旧事实	新事实	检索词	出处
F1	增补 3 第 1 件（历史生成器）已派实现员，还没有交回；生成器、执行器、快档还没有实现落点	增补 3 第 1 件已交回并收口：生成器、执行器、已知红清单、收缩与大档在 crates/singlefs-harness/src/history.rs，快档测试在 tests/second_transaction_supplement_three_random_history.rs；两轮代码三方判决完毕，第 1 件不开第三轮	第 1 件	H1
F2	层 0 崩溃点重放单进程跑、只用满 32 核里的 1 核，两条流合计 3 小时 50 分 49 秒	层 0 崩溃点重放改多线程：crash.rs 按状态区间切片、std::thread::scope 并行，线程数由 SINGLEFS_LAYER0_THREADS 给；主工作区门禁 54 号 32 线程两条流合计 8 分 38 秒，计数行与单线程逐字相同	越跑越慢	H1
F3	新立：门禁 54 号不检查崩溃点重放用了几个线程	门禁 54 号在多核机器上没有显式把线程数设成 1、却只起了 1 个线程时判红（红的那一支只拿合成日志核过）	门禁 54 号&&线程	H1;提交 a023682
F4	新立：仓里没有「测试与崩溃检测默认要用多线程」这条规则	implementation-workflow.md 新增「测试与崩溃检测优先多线程」一节：彼此独立的单位按区间切片用 std::thread::scope 并行、合并要确定、跑的过程中报进度、不能并行的写明原因	测试与崩溃检测优先多线程	提交 a023682
F5	新立：仓里没写「腿交齐之后、派核查员之前，发现别的会话改了快照里的文件」该怎么办	implementation-workflow.md 补一段「别的会话改了快照里的文件」：拿快照 sha256sum -c 一遍，对不上的倒推出原样再交核查员，倒推清单存进这一轮证据	别的会话改了快照里的文件	提交 a023682
F7	增补 2 收口表第 42 行末句写「还开着：改代码的一方整表跑一遍 59 号的锚点预扫，这一条要写进 implementation-writer 定义，改定义走三方」	已做成门禁 33 号的一段（crates/mutations.tsv 每行原文恰好命中一次，不跑变异），阶段归属表把 33 号也登记给 implementation-writer，定义没改	锚点预扫	H1;提交 a023682
F8	新立：增补 2 收口表没有登记「回退之后把 F 抬进回退留下的空档，checker 在合法状态上判 I-3.1 红」这一条	增补 2 收口表新增第 43 行：最短复现 11 步；登记成生成器已知红第 1 条，修法待与第 ② 行一起判	抬进回退留下的空档	H1
F9	新立：增补 2 收口表没有登记「复用改写已回收记录时分配代没改，checker 判不出」这一条	增补 2 收口表新增第 44 行：invariants.md 没有一条判据管已分配记录的分配代；生成器快档大档也判不出，归增补 3 第 2 件新立判据	分配代没改	H1
F10	第 ② 行只写「一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红」，攻方顺带看到、攻方与主 agent 都没核实坐实	第 ② 行补一句：增补 3 第 1 件的历史生成器坐实这一现象，快档 96 段里 50 段、大档 3000 段里 1929 段以它收尾（生成器已知红第 0 条接住）	转过一整圈	H1
F11	新立：增补 3「设想实现」第 2 件（理想模型与对拍）没有写验收标准	第 2 件加验收：模型接上之后，攻方腿的六条变异都要判红——装得下的内容被拒、合法的回退目标被拒、抬 F 越过上限被接受（两条）、冷启动读回失败、复用改写时分配代不改	攻方腿的六条变异	H1
F12	新立：仓里没写生成器调用公开入口时遵守哪两条只写在文档注释里的前提	「预想的细节」补一条：抬 F 的目标不低于今天的 F；publish_without_units 只在树表 0 条的一版上调；第 6 件要在前提之外各调一次	只写在文档注释里的前提	H1
F14	bash-command-detector.sh 判据只看命令串，heredoc 正文里的禁用命令名会触发误报；仓里当时没改，只留一句「写在这里是为了下一个人看到这条报警时知道先分辨」	2026-09-19 取「排除 heredoc 正文」这一种：三种检出都先剥掉喂给非 shell 命令的 heredoc 正文（原先只有第三种剥），喂给 bash / sh 的照查；自检加四格，BASH_COMMAND_DETECTOR_KEEP_HEREDOC_BODIES=1 时判红	命中的是命令位置还是数据	提交 a023682
F15	新立：看门狗每次起都从头读会话记录，禁用命令告警不看发出时间，几个钟头前的 pgrep -f 会一直触发误报	改了：禁用命令只报 10 分钟与两倍复检间隔里较大的那个窗口内发出的；自检加 bannedold 一格；门禁 47 号绿	bannedold	提交 a023682
F16	新立：看门狗把报告里 heredoc 正文中的 pgrep -f 也判成禁用命令；交回后被续做的 agent 在续做消息到达、还没调工具的那几秒被判成「已交回」	改了：判禁用命令之前去掉 heredoc 正文；交回之后来一条续做消息（origin 为 coordinator）就撤销「已交回」，后台任务完成通知不算；自检加 bannedheredoc、bannedafterheredoc、resumedthinking、notifiedafterhandback 四格	bannedheredoc	提交 a023682
F17	新立：没有记录过三方腿撞到周限额之后用续做接着做完的真实案例；也没有记录过用临时索引配 stage-mine.py 做阶段同步的真实案例	增补 3 第 1 件代码三方一条腿撞到周限额后，用续做（SendMessage）从原上下文接着做完；这次阶段同步本身第一次用临时索引（GIT_INDEX_FILE）配 stage-mine.py 把一个会话的改动单独做成提交对象	撞到周限额	提交 a023682
F19	新立：crates/mutations.tsv 到第 128 行为止，没有第 129–145 行	crates/mutations.tsv 追加第 129–145 行（17 行），钉住第 1 件两轮代码三方打中的遮蔽、漏判、写行与暖机分配代等新变异	第 145 行	H1
