组	旧事实	新事实	载体	原文
F1	门禁阶段要不要复用上一次的判定，只能人工按 implementation-workflow.md「复用上一次全量门禁的判定」那张表手动收集三样证据（判绿日志、逐个路径现查、改动清单核对）写进收尾报告，缺一样就按没跑算；C8 记着这笔欠账，要的是「每道阶段记住自己上次跑绿时读到的那批输入的指纹，下次先比指纹、相同就退 77」，指纹落盘、会腐化、新 clone 拿不到，这一半照旧欠着	新立了 research/scripts/stage-must-run.sh：判据是这一道读的那几条路径，在 refs/sop/staged-green 那棵树与这次的暂存树之间 git 说变没变；退 0 要跑、退 1 可跳过；判不出来、不是 gate-staged.sh 起的、超过复用上限（默认 24 小时）、SINGLEFS_GATE_FULL=1 一律当要跑；自证在 research/scripts/stage-must-run-selftest.sh（九格）；54、55、59、74、87 五道阶段已经接了它，跑的时候不再需要人工按 implementation-workflow.md 那张表手动收集三样证据	.claude/kb/checks-owed.md:22	| C8 | 门禁范围判不出来 | **一次改动的门禁范围判不出来，于是要么全跑（挂钟炸）要么少跑（有布局没被验）** | 门禁按 diff 计算**受影响的布局集合**并打印：diff 只碰某一条布局的专属路径 ⇒ 只跑那一条；碰到共享代码（事务层、`CommitStep`、格式常量、checker 框架）⇒ **强制全跑**。取不到这个集合、或集合为空而 diff 非空，即判红。故障注入自证：造一个只改共享枚举的 diff，门禁必须判为全跑；造一个只改单布局的 diff，必须判为只跑那一条 | 布局清单文件、布局专属路径与共享路径的目录约定、事务层存在（事务层 2026-09-14 已有；布局清单文件 2026-09-21 随 C14（格式变了 checker 没跟） 有了：`.claude/gate.d/layouts.tsv` 一套布局一行，登记位号、格式定义路径与 checker 判定路径，门禁 92 号读它——它给的是「布局 → 路径」这一层映射，C8（门禁范围判不出来） 还欠「专属路径与共享路径怎么分」那一层） | **判据从「总时长」改成「范围可判定」（2026-08-
F1	门禁阶段要不要复用上一次的判定，只能人工按 implementation-workflow.md「复用上一次全量门禁的判定」那张表手动收集三样证据（判绿日志、逐个路径现查、改动清单核对）写进收尾报告，缺一样就按没跑算；C8 记着这笔欠账，要的是「每道阶段记住自己上次跑绿时读到的那批输入的指纹，下次先比指纹、相同就退 77」，指纹落盘、会腐化、新 clone 拿不到，这一半照旧欠着	新立了 research/scripts/stage-must-run.sh：判据是这一道读的那几条路径，在 refs/sop/staged-green 那棵树与这次的暂存树之间 git 说变没变；退 0 要跑、退 1 可跳过；判不出来、不是 gate-staged.sh 起的、超过复用上限（默认 24 小时）、SINGLEFS_GATE_FULL=1 一律当要跑；自证在 research/scripts/stage-must-run-selftest.sh（九格）；54、55、59、74、87 五道阶段已经接了它，跑的时候不再需要人工按 implementation-workflow.md 那张表手动收集三样证据	.claude/rules/implementation-workflow.md:30	改动之后要不要重跑某一道，判据是**那一道读的全部输入自上次跑绿以来变没变**，不是「我改的是不是 `crates/`」。一道读的输入常常不止源码：层 0 崩溃点重放还读字节布局表与它比对的入库产物，herd7 读 `litmus/` 与代码里的锚点，QEMU 读装置二进制。
F2	每道门禁阶段读哪几条路径，没有集中登记表；implementation-workflow.md 只用散文说「一道读的输入常常不止源码」，要复用就得每次逐个路径现查、说不全就没有复用的资格	新立了 .claude/gate.d/stage-inputs.tsv：一行一条登记每道阶段读哪几条路径，是唯一登记位；这份清单自己也进比对——少写一条输入，那条输入就永远不会让对应阶段重跑，改清单本身则必定触发重跑	.claude/rules/implementation-workflow.md:37	| 那一次跑的索引与现在的索引，在**那一道读的每个路径**上逐字相同 | 逐个路径现查，输出不截断；说不全那一道读什么，就没有复用的资格 |
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/agents/gate-triage.md:31	- 报告文件、草稿目录。门禁自己的 git 写（共享 `gate.sh` 全绿时 `update-ref refs/singlefs/gate-ok`、`--staged` 时的临时 worktree）是门禁本身的行为，允许；你自己不做任何 git 写。
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/kb/checks-owed.md:22	| C8 | 门禁范围判不出来 | **一次改动的门禁范围判不出来，于是要么全跑（挂钟炸）要么少跑（有布局没被验）** | 门禁按 diff 计算**受影响的布局集合**并打印：diff 只碰某一条布局的专属路径 ⇒ 只跑那一条；碰到共享代码（事务层、`CommitStep`、格式常量、checker 框架）⇒ **强制全跑**。取不到这个集合、或集合为空而 diff 非空，即判红。故障注入自证：造一个只改共享枚举的 diff，门禁必须判为全跑；造一个只改单布局的 diff，必须判为只跑那一条 | 布局清单文件、布局专属路径与共享路径的目录约定、事务层存在（事务层 2026-09-14 已有；布局清单文件 2026-09-21 随 C14（格式变了 checker 没跟） 有了：`.claude/gate.d/layouts.tsv` 一套布局一行，登记位号、格式定义路径与 checker 判定路径，门禁 92 号读它——它给的是「布局 → 路径」这一层映射，C8（门禁范围判不出来） 还欠「专属路径与共享路径怎么分」那一层） | **判据从「总时长」改成「范围可判定」（2026-08-
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/kb/checks-owed.md:390	| C439 | gate-ok 前移让同轮早先写的行不再被判 | 门禁 88 号按 `refs/singlefs/gate-ok` 算「这次改动新增或改写的行」，而那个 ref 在任意一次共享 `gate.sh` 全绿时前移；同一轮里该前移点之前写下的错引文，之后再跑就永远不在判定范围里了（正推腿 2026-09-21 现造现测，`.claude/agents/gate-triage.md:31` 是前移那一处） | 要么把基准改成「上一次提交」而不是「上一次全绿」，要么在前移时记下当轮起点；两种都要先想清多会话共用一个 ref 时谁定起点 | 无 | 2026-09-21 archive-rename-r1 轮正推腿 J6②：同上 |
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/kb/checks-owed.md:397	| C449 | 两套基准算法让带不带 --staged 判出不同的改动范围 | **共享的 `diff_base` 取「上次门禁全绿那一点」（没有上游时读 `refs/singlefs/gate-ok`），而项目本地阶段（56、68 号这类）各自写了简化版 `GATE_BASE > upstream > HEAD`** ⇒ 同一个工作区，带 `--staged` 跑（`gate.sh` 会把 `diff_base` 的结果设进 `GATE_BASE`）与不带跑，改动范围不是同一个：2026-09-21 实测，不带时基准是 HEAD `8186d5b`、68 号报 3 个触发文件没点名；带 `--staged` 时基准是 `3cff909`、同一道报 17 个。两次都是真判据，而读的人会以为其中一次是错的 | 一道检查比对两套算法：拿同一个仓、同一个暂存区，分别用共享 `diff_base` 与项目阶段自己那套算基准，两者不同就判红并列出差在哪几个提交；判别力自证用一个「上次门禁绿之后别人提交过一次」的样本仓，必须红。⚠️ **有意取别的基准的阶段要另列，不然这道检查会冤枉它们**：一
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/kb/checks-owed.md:398	| C450 | 归档删掉的 sync 记录还在役 | **门禁 91 号按「HEAD 里有、工作区没改过」删上一轮的实验记录，而 68 号要求「上次门禁全绿以来的每个触发文件都有阶段同步记录点名」** ⇒ 上一轮提交时门禁没跑绿（`refs/singlefs/gate-ok` 没前移）的话，那一轮的 sync 记录既是「上一轮的、该删」又是「还在被 68 号要着的」，两道直接打架：2026-09-21 实测，归档删掉 `archive-rename-sync.md` 之后，它点名的 17 个触发文件在 `--staged` 跑里全部变成「没在任何同步记录里点名」 | 91 号删一份 `*-sync.md` 之前先问它点名的触发文件还在不在当前基准的改动范围里：在就不删、并说明为什么留；判别力自证用一个「gate-ok 落在上上次提交」的样本仓，那份 sync 记录必须留住。⚠️ **2026-09-21 又撞了一次，根因比立账时写的更窄：两道的时间基准差一格**。68 号的改动范围是 `diff(HEAD~1, 工作区)`（`refs/sop/gate-ok` 不存在时 `diff_
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	.claude/kb/checks-owed.md:438	| C454 | --staged 跑绿不让基准前移，而且不说 | 上游 `scripts/gate.sh` 的 `--staged` 那一支，跑绿之后多打两行：这一轮没有给 `gate-ok` 前移（窗口是人为收窄的）、下一轮的 diff 基准仍从哪一个提交起算（从没写过就说「从未写过，退回默认算法」）、要前移就在工作区干净时不带 `--staged` 再跑一次。判红时不打，免得跟红的诊断抢注意力。三语仓（zh / en / ja）同一处都填了。判别力自证三种情形：`gate-ok` 从未写过时说「从未写过」、存在时报出它指向哪、退出码非 0 时一个字不打 | 2026-09-21 |
F3	除了 refs/singlefs/gate-ok（不带 --staged 的整轮判绿用），没有第二条 ref 记「带 --staged 跑绿」这件事；C454 记着：--staged 跑绿之后不会让任何 ref 前移，而且不说明为什么	新立了 research/scripts/gate-staged.sh：算暂存树 → 跑 gate.sh --staged → 整轮全绿才把 refs/sop/staged-green 前移到包着那棵树的提交；有红不前移，不带 --staged 跑不前移；前移放在外壳里是因为共享 gate.sh 在上游、本仓的 .claude/scripts/gate.sh 只是 exec 转发	records/2026-09-16-subagent拆分提案.md:279	| 脚本用法与产物名 | 对得上：`claim-experiment.sh --next` 与 `E<号> 简称`；`checklist-specs.py 清单 --cited 正文 --out 出口 [--extra …]`；`mutate.sh <bin 名> <源文件> <变异表>`；`replay.sh` 接实验号；`ask-local.sh` 的作废副本名 `<提示文件名去掉 .md>-output-void<n>.md`；共享 `gate.sh` 全绿时 `update-ref refs/singlefs/gate-ok`；59 号把仓拷到临时目录再施加变异；`crates/mutations.tsv` 六段 | 读各脚本头部与相关实现行 |
