组	来源	对象	证据	载体	原文
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/checks-owed.md:146	| C143 | inode 号水位在回退后会退回去重发 | **定案（2026-09-16，三轮三方 + 用户定案）：不搬水位，把唯一性收窄到「已发布的 (inode 号, 对象出生代) 不复用」（D8（核心索引结构） 已定项 6），水位照旧住记账、回退照旧从 R_old 重载；回退之后每个新对象的出生代严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机与 0 / 1 / 0 归属下要连续 3 个 txg 的根读不出才撞得上（`research/prompts/c143-r3-opus-model/c143r3_model.out` 逐槽计那一套里 `arm=C min_fs=3`）。三轮里出局的：甲 / 乙 + AJ（回退时再读 journal 里该头的水位）——见证随头销毁不再传播，2 个故障盖住；G（根记录与记录头各带全池号水位，各 +8 字节）
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/checks-owed.md:94	| C84 | 墓碑单元的粒度没人定 | D18（块里携带什么信息）已定项 8 定了「删除写墓碑单元」，**没定一次删除写几个墓碑（每 key？每对象？每批共享一个单元？）**，回收规则也自陈未答；D3（空间分配）已定项 2 自陈「一次删除写几个墓碑、能不能批量摊、盘满时删得动删不动，一个数都没有」。若每 unlink 一个 32 KiB 单元 × w=2，删一个 1 字节文件物理写 64 KiB，批量删除的墓碑写放大无上界 | **量化已还（2026-09-02）**：E83（墓碑的粒度）算清四种组合——每记录独占单元时 rm -rf 百万文件物理写 **62.5 GiB**（不可用的形态）；区间记录 + 打包共享单元 583× 便宜（107 MiB），truncate 上再差 4096 倍；⚠️ 打包把回收耦合成 E80（条带的部分释放）那个钉住形状，量化欠回收规则。**决策已落（20
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/05-快照-空间记账机制.md:369	| 12 | inode 号水位（下一个可用 inode 号） | inode 号分配（D8（核心索引结构） 已定项 6：inode 号单调不复用，下一个号在被问到那一刻要有答案） | 不带 | **带**（只为可写头维护） |
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/05-快照-空间记账机制.md:377	**第 12 项（2026-09-05，随 D8（核心索引结构） 已定项 6 加）**：完备性口径照第 10 / 11 项的先例——它不在 D3（空间分配） 已定项 4 的准入不等式里，进来的理由是「分配判定要它」。⚠️ **2026-09-06 立账 C143（inode 号水位在回退后会退回去重发）**：它住记账，而 D23（journal 的角色与格式） 已定项 14 逐字「全部记账统计量的现行值从 R_old 那棵账重新载入」⇒ 回退后水位退回旧值、已发过的号被重发，撞 D8（核心索引结构） 已定项 6「inode 号单调不复用」。同一天给树 ID 水位定的「住超级块取 max」**搬不过来**——该项带树维、条数随可写头数长，而超级块是定长槽。2026-09-16 三轮三方 + 用户定案：不搬水位，改收窄唯一性——D8（核心索引结构） 已定项 6 改成「已发布的 (inode 号
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/08-核心索引结构.md:372	左半保留全部原有记录与身份，右半从触发分裂的那条新记录起，**右半容器号 = 那条新记录的 inode 号**，出生代 = 本次发布的 checkpoint_txg，**出生树 = 执行这次分裂的那棵树**（分裂是新建，与「COW 重写身份不变」是两件事）；
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/08-核心索引结构.md:373	第一个容器的号 = 第一条记录的 inode 号。内部节点同样在右端溢出、末尾分裂，右半是码 2、没有容器身份。
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/08-核心索引结构.md:374	**唯一性的射程是一条已发布历史内**：每个容器号都是某条记录首次插入时的 inode 号。2026-09-16 起号在回退之后可以重发（已定项 6 的唯一性收窄到 (inode 号, 对象出生代)），所以同一棵树里两个容器可以同号，分开它们的是容器出生代——右半的出生代 = 触发分裂那次发布的 txg，而回退之后每一个新 txg 都严格大于每个已发布的 txg（D23（journal 的角色与格式） 已定项 14）；同一次发布内「分裂 → 合并 → 再分裂」也造不出同身份两版。
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/08-核心索引结构.md:381	`deleted_inodes` 后台回收窗口里复用会让新旧对象的 extent key 三段逐字相同。⚠️ **「已发布的」这四个字不是为了对齐措辞，是让现行设计自洽**：水位住记账（D5（快照 / 空间记账机制） 已定项 4 第 12 项），被抛弃 checkpoint 的那笔账随它一起丢 ⇒ **每一次普通崩溃**都会让那一代发过的 inode 号被重发（C143（inode 号水位在回退后会退回去重发） 此前只记了回退那一半）。不收窄的话这条戒律的字面在每次崩溃后都不成立。2026-09-16 再收窄之后仍然被禁的是已发布的 (号, 出生代) 被重发。`deleted_inodes` 回收窗口里 extent key 三段逐字相同那一句说的是同一条时间线里的复用（旧对象已发布、它的 extent 在树里等后台回收），照旧被禁；回退之后重发同一个号，新对象的 extent 落在 R_
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/08-核心索引结构.md:74	| 6 | **inode 记录的盘上字段表** | **已定（2026-09-05，四轮三方论证后定案）：inode 树的叶是码 3 打包记录单元（打包记录类型 2，一叶 233 条定长 140 字节记录），内部节点是码 2、不留消息缓冲区、条目 120 字节（2026-09-14 随指针加压缩 3 字节从 117 改来），根恒为码 2；已发布的 (inode 号, 对象出生代) 不复用，下一个号是记账里取最大值合并的统计量** | D8（核心索引结构）「已定项 6」 2026-09-05 随 C113（扫描重建时多版单元的现行版本判定无输入） 定案：容器头加写序 10（93 → 103，一叶仍 233 条），同身份两版靠写序分辨。2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案：唯一性从「已发布的 inode 号不复用」收窄到「已发布
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/09-加密.md:536	| **对象出生代（inode generation）** | 按五元组 / AAD 的 day-1 契约保留（D18（块里携带什么信息） 已定项 3 / 已定项 11）。inode 号单调不复用（D8（核心索引结构） 已定项 6）之后，「复用后旧文件与新文件的 `(树, 对象, 偏移)` 完全相同」是历史理由；2026-09-16 起它不再是深度防御，是唯一性本身：号在回退之后按设计会被重发（D8（核心索引结构） 已定项 6 收窄到「已发布的 (inode 号, 对象出生代) 不复用」），在 AAD / nonce 两层把同号的新旧对象分开的正是这一段；它同时仍是 I-6.1（nonce 不重用） 失效时（崩溃窗口 / nonce 水位回滚）的第二道闸 | 密文侧 |
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/decisions/18-块里携带什么信息.md:833	| 53 | 容器号 | 8 | 分配规则按打包记录类型分（2026-09-05）：类型 1（墓碑）树内单调分配（C103（容器索引无落点） 那套，回退不破身份）；类型 2（inode 记录）= 触发分裂的那条新记录的 inode 号，不要分配器（D8（核心索引结构） 已定项 6）。两类都是发布无关，容器被 COW 重写时不变；4 字节按 E44（序号位宽的本机实测与代价） 的 2785 发布/秒 17 天回绕 |
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/experiments/104-扫描重建的现行版本判定.md:14	| D8（核心索引结构） 已定项 6 | 类型 2 容器身份 (出生树, 2, 容器号, 出生代)，同一头内 COW 身份不变，合并左吸收右、右退役，inode 号单调不复用 |
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/invariants.md:254	**依赖 D8（核心索引结构） 已定项 6，形态已定（码 2 内部节点 + 码 3 叶容器、记录定长 140、inode 号单调不复用），checker 未实现。**
R1	退役片段	)。已发布的inode号单调不复用（D6	.claude/kb/decisions/08-核心索引结构.md 删掉：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 inode 号单调不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案）： ⟶ 新加：**key 与 inode 号**：key = inode 号 8 字节，唯一性范围 (树 ID, inode)。**已发布的 (inode 号, 对象出生代) 不复用**（D6（快照实现模型） 判据 9 的戒律，2026-09-06 随判据 9 一同收窄射程、用户定案；2026-09-16 随 C143（inode 号水位在回退后会退回去重发） 三轮三方 + 用户定案再收窄到带出生代：回退让水位从 R_old 那棵账重载、已发过的号会被重发，而回退之后每一个新对象的出生代都严格大于被抛弃时间线里任何已发布对象的出生代——只要回退那一刻最新的根读得出，严格暖机（D16（发布语义） 已定项 8）	.claude/kb/invariants.md:265	| I-9.4 | 容器号不超最小 key | 打包记录类型 2 的容器内每条记录的 inode 号 ≥ 容器号；沿叶序容器号严格递增，且左容器的最大 key < 右容器号（这条逼出合并只许左吸收右 / 左从右借） | 已实现（2026-09-14，池级 checker `crates/singlefs-checker` 的 `walk::check_pool_image`；坏镜像在 `crates/singlefs-harness/tests/checker_known_bad_images.rs`；层 0 每个崩溃状态都判） |
