M1_甲臂偷看记账	fn jia_units_only() -> Self { Arm { carries_rewrite_sequence: false, writes_tombstone_unit: false, consults_accounting: false,	fn jia_units_only() -> Self { Arm { carries_rewrite_sequence: false, writes_tombstone_unit: false, consults_accounting: true,
M2_庚臂退回单调分配	fn geng_allocator_reuses_low_addresses() -> Self { Arm { allocator_reuses_low_addresses: true, ..Arm::jia_units_only() } }	fn geng_allocator_reuses_low_addresses() -> Self { Arm { allocator_reuses_low_addresses: false, ..Arm::jia_units_only() } }
M3_戊臂陈旧副本其实留着	fn wu_stale_invisible() -> Self { Arm { stale_copies_visible: false, ..Arm::jia_units_only() } }	fn wu_stale_invisible() -> Self { Arm { stale_copies_visible: true, ..Arm::jia_units_only() } }
M4_墓碑单元不写	        if arm.writes_tombstone_unit {\n            units.push(Unit { physical_address: tombstone_physical_address, header: Some(unit_header), live: true });	        if false {\n            units.push(Unit { physical_address: tombstone_physical_address, header: Some(unit_header), live: true });
M5_序号取最小而不是最大	*candidates.iter().max_by_key(|(_, candidate_sequence, _)| candidate_sequence.expect(	*candidates.iter().min_by_key(|(_, candidate_sequence, _)| candidate_sequence.expect(
M6_歧义不计数	            ambiguous += 1;\n            *candidates.last().unwrap()	            ambiguous += 0;\n            *candidates.last().unwrap()
M7_墓碑读成活的	        if chosen_candidate.2 {\n            continue;	        if false {\n            continue;
M8_记账那条腿失效	        if arm.consults_accounting && !unit.live { continue; }	        if false && !unit.live { continue; }
M9_陈旧副本清不干净	        units.retain(|unit| unit.live);	        units.retain(|unit| unit.live || unit.physical_address > 0);
M10_应有单元数少算覆写	        let base = self.object_count + self.overwrite_count + if arm.writes_tombstone_unit	        let base = self.object_count + 0 * self.overwrite_count + if arm.writes_tombstone_unit
M11_复活不计数	        if rebuilt_state.map.contains_key(key) { outcome.resurrected += 1; }	        if rebuilt_state.map.contains_key(key) { outcome.resurrected += 0; }
M12_反向索引缺条不计	            None => outcome.reverse_index_bad += 1,	            None => outcome.reverse_index_bad += 0,
M13_记账类永远算对	        if true_accounting_count != rebuilt_accounting_count { outcome.accounting_bad += 1; }	        if true_accounting_count != rebuilt_accounting_count { outcome.accounting_bad += 0; }
M14_缓冲条数改一档	const MESSAGE_BUFFER_DECISION_BUFFERED_MESSAGES: usize = 665;	const MESSAGE_BUFFER_DECISION_BUFFERED_MESSAGES: usize = 664;
M15_扇出改一档	const MESSAGE_BUFFER_DECISION_FANOUT: usize = 119;	const MESSAGE_BUFFER_DECISION_FANOUT: usize = 120;
M16_驻留容量少算一层	    internal_node_count * MESSAGE_BUFFER_DECISION_BUFFERED_MESSAGES as u64	    (internal_node_count - 1) * MESSAGE_BUFFER_DECISION_BUFFERED_MESSAGES as u64
