组	旧事实	新事实	载体	原文
F1	C468（判错的原始证据不落盘）还欠着：门禁 68 号没有判据要求同步记录带上原始材料，阶段同步判错一行之后候选表与逐行判定报告留在 /tmp、没有入库门槛。	C468 已移入「已还清」：门禁 68 号加判据 ⑤，要求这一次提交要带的每份同步记录（还没进 HEAD 的那几份，基准是 HEAD 而不是 GATE_BASE）有「## 原始证据」小节，表头逐字「材料 / 路径 / 行数」、至少一行，逐行核路径在仓里现存、行数与那份文件的 wc -l 逐字相等；红绿夹具补齐（红样本五种坏法，green 两份记录各带一张对得上的表）。	.claude/kb/checks-owed.md:414	| C472 | 暂存区里多出来的触发文件没人拦 | **一批改动每多碰一个触发文件，阶段同步就多一轮**：门禁 68 号的触发范围是 `.claude/agents/`、`.claude/agent-common.md`、`.claude/hooks/`、`.claude/settings.json`、`.claude/gate.d/` 顶层的 `.sh` `.py` `.tsv`、`.claude/rules/`、`research/scripts/`、`crates/*/src/`、`CLAUDE.md`。多一个触发文件 ⇒ 事实表多一行 ⇒ 候选表多几十到几百行 ⇒ 逐行判与主 agent 的逐行全看跟着涨。⚠️ 这个放大器在判「这个决策挡不挡着本轮的课题」的时候**看不见**：顺手修一个踩过的脚本，diff 只有几行，代价却是一整轮回扫。2026-09-22 实测：C468（判错的原始证据不落盘） 本身只要 3 行候选，同一批里顺手修的两个脚本（门禁 91 号的出路、`test-environment-check.py` 的 clean 汇总行）贡献了 249 行候选，逐行判
F1	C468（判错的原始证据不落盘）还欠着：门禁 68 号没有判据要求同步记录带上原始材料，阶段同步判错一行之后候选表与逐行判定报告留在 /tmp、没有入库门槛。	C468 已移入「已还清」：门禁 68 号加判据 ⑤，要求这一次提交要带的每份同步记录（还没进 HEAD 的那几份，基准是 HEAD 而不是 GATE_BASE）有「## 原始证据」小节，表头逐字「材料 / 路径 / 行数」、至少一行，逐行核路径在仓里现存、行数与那份文件的 wc -l 逐字相等；红绿夹具补齐（红样本五种坏法，green 两份记录各带一张对得上的表）。	.claude/kb/checks-owed.md:436	| C468 | 判错的原始证据不落盘 | 门禁 68 号（阶段同步记录）加判据 ⑤：这一次提交要带上的每份同步记录（还没进 HEAD 的那几份）要有「## 原始证据」小节，小节里恰好一张表，表头逐字 `材料 / 路径 / 行数`，至少一行；逐行核材料格非空、路径是仓库根起且在仓里现存、行数与那份文件的 `wc -l` 逐字相等。⑤ 的基准是 HEAD 而不是 `GATE_BASE`（①–④ 用后者）：拿 `GATE_BASE` 判会连上一个提交里已经写好的记录一起判，而那份是冻结证据、改不得，它的材料也归档了——理由写在脚本里 `uncommitted_records` 那一段。判别力自证：红样本五种坏法（整节缺掉、表头写错、表一行都没有、点名的候选表不在仓里、行数与 `wc -l` 对不上）各一份记录，逐个判红；green 两份记录各带一张对得上的表（含一个反引号包着的路径、一份不以换行结尾的材料）判绿并报对数 | 2026-09-22 |
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/agent-common.md:24	仓里因此有一批引用只写文件名、不写路径，那不是坏链接，是已经归档的东西。
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:24	| C13 | checker 判定失效 | 某套布局的 checker 判定逻辑失效（跑了、全绿，但已经不做事） | 该布局被跑到的**同一轮**里，额外对一份「已知坏的镜像」跑它自己的 checker，**不报错即判红**。已知坏镜像随格式版本一起归档（同 C10（历史单元格式读不了） 的黄金镜像机制） | 层 1 harness、每套布局的 checker ⚠️ 2026-09-14 第一套布局的形态有了：池级 checker 判的条目每条一份坏镜像（`crates/singlefs-harness/tests/checker_known_bad_images.rs`；2026-09-18 起 29 条，里程碑「第二个事务」步 6 与增补 2 加的六条各配一份），每次 `cargo test` 都跑、不报错即判红；层 1 harness 那一半仍欠 | 覆盖记录只证明「被执行」，完全不证明「有判别力」；而判定逻辑失效的 checker **跑得更快**，在按耗时填切片的调度下反而更容易被选中 |
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:33	| C10 | 历史单元格式读不了 | **扫描重建路径**读不了历史单元格式却没人发现 | 黄金镜像回归：用当前的**扫描重建路径**去读全部历史版本的归档镜像，重建索引、跑 checker、比对期望内容摘要，任一不过判红。镜像本体不进仓库，只提交清单，清单**只增不删** | 第一次冻结发生、mkfs、checker、扫描重建路径 | D15（格式冻结政策）。⚠️ **回归对象由 [decisions.md](decisions.md) D21（权威态与派生态的分界） 收窄**：按 D21（权威态与派生态的分界），正常读写路径**不必**读旧镜像（派生态可重建、权威态不变），唯一需要向后兼容的是扫描重建路径 |
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:44	| C39 | 复跑脚本静默踩空 | 复跑实验的脚本把「二进制不存在」（`rc=127`）当成了「输出与归档有差异」，于是**一轮根本没跑起来的复跑被报成一次有差异的复跑** | 复跑脚本必须先判退出码再比对输出，非零一律整轮作废并显式报告；且**二进制名要有唯一来源**（从 `Cargo.toml` 的 `[[bin]] name` 读，不许在脚本里手拼）。判别力自证：删掉一个二进制，脚本必须报「没跑成」而不是「有差异」 | **已还一半（2026-08-29 复跑轮）**：`research/scripts/replay.sh` 把 23 个实验的复跑做成一张表，三条闸各自证过会红——① 跑前删本轮输出；② **逐段**核收尾行 `name=done emitted=N` 与该段实际行数（挖掉中间一行 ⇒ 报「第 3 段…实收 5 条」；删掉末段收尾行 ⇒ 报「最后一段没有收尾行」；整份没有 done ⇒ 报「没有收尾行」）；③ 退出码非 0 一律判「跑不了」，不许掉进 diff。整体判别力也证过：把入库产物里一个 `fanout=100` 改成 101 ⇒ 判「对不上」退出码 1
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:122	| C125 | 归档产物里写死了会话路径 | **三份归档产物的正文里带着产生它的那个会话的绝对路径**（`e58-csum-grain-repro-2026-08-31.out` 一处、`e65-write-grain-2026-08-31.out` 与 `e66-small-files-2026-08-31.out` 各五处，形如 `dev=/tmp/claude-1000/<会话 id>/scratchpad/…`）。别的会话复跑时那一行必然不同 ⇒ `research/scripts/replay.sh` 把 E58（校验和粒度的端到端代价） 判成「对不上」而不是「仅计时不同」，2026-09-05 全量复跑逐次如此。**害处不是那一行本身，是它把复跑的红灯变成常态**：一个每次都红、每次都被解释成「哦那个不算」的检查，等于没有检查（`.claude/singlefs-ai-sop/rules/show-me-test.md`「门禁不许假装通过」的反面）。 | 两条一起做：① 实验产物里凡是路径都按「设备角色」输出（`dev=role:test` 之类），不输出真实路径；② 
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:208	| C227 | 黄金镜像的基准是它自己那份代码写的 | **D15（格式冻结政策）「两条会红的检查」第 2 条的黄金镜像回归，只比「今天的代码读不读得懂历史镜像」，不比「当初那份镜像写对没有」。** 第一份镜像若是错代码写出来的，回归会把错的那份当基准，此后每一轮都对着它判绿——`spec_hash` 罩不到这一格（它锚在声明上，不锚在字节上），D15（格式冻结政策） 已定项 3 已明写这一点 | 归档一份黄金镜像时，它的期望内容摘要必须由 **checker 这个独立解析器**算出来，不许由生成它的那条写路径算；两者不一致即拒绝归档。判别力自证：喂一份故意写错一个字段的镜像，归档必须被拒 | checker 与 mkfs / 写路径 2026-09-14 都有了（`crates/singlefs-checker`、`crates/singlefs-core`）；归档黄金镜像时用 checker 独立算期望摘要这道闸还没接 | 2026-09-09 D15（格式冻结政策） 已定项 3 那一轮，本地腿构造、主 agent 采纳 |
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:384	| C433 | 提交里的登记与被登记的文件不同进退 | 几个会话共写一个仓时，「这份改动是谁的」**不能按文件路径判**——真正的判准是「**这个文件是不是混合的**」：别人的行可以混在我也改过的文件里。2026-09-21 实测：`3cff909` 用 `git add -A` 再按路径清单退出别人的文件，而 `crates/singlefs-harness/src/lib.rs` 的 `pub mod crash_injection;` 与 `research/e7-index-bench/Cargo.toml` 的两个 `[[bin]]` 是别的会话加在**我也改过的那两份文件**里的行，被一起提交、对应源码却留在它的工作区 ⇒ **HEAD 自己编译不过**，`gate.sh --staged` 死在第一步，后面 21 个阶段全是连带红、一个都没真跑（既不算通过也不算失败）| **四条一起做**：⓪ 反向之二——整组改动被别人的提交带走：一组做完、停在工作区等通知的改动（2026-09-21 的 `.claude/handover/` 67 份**删除**），被另一个会话顺手
F3	门禁 91 号与 research/scripts/archive-past-rounds.py 判红时给的出路句里不提示该用哪个基准跑 --apply，不给基准就默认按 HEAD 算；C450（归档删掉的 sync 记录还在役） 记着这两道基准不一致会把还在被 68 号要着的同步记录一起删掉，出路本身没有提示怎么避免。	出路那句话把该用的基准打出来（读 GATE_BASE 环境变量，没给就提示去读门禁那一行「diff 基准 <sha>」），并写明不给基准它会按 HEAD 算、把这一次提交要带的同步记录也当上一轮的删掉。；再进一步，--apply 在没给 GATE_BASE 时当场拒绝执行（退出码 2、一个文件都不删），不再只是出路里的一句提醒，自检里有「不给基准必须被拒绝且没删文件」那一条	.claude/kb/checks-owed.md:387	| C436 | 反引号里的路径，归档与文档指向两道都够不着 | `.claude/agents/three-way-materials.md:20` 与 `:28` 用反引号写着 `research/prompts/_m2-code-r1-diff.md` 全路径，那份已被归档删掉。三层各自够不着：`archive-past-rounds.py` 的 `still_an_input()` 扫的 `INPUT_TREES` 与 `rewrite_links()` 扫的 `SCAN` 都不含 `.claude/agents/`；门禁 23 号只判 `[文字](路径)` 形态的链接，而它的 `mask_code()` 会把反引号片段整段涂空（正推腿 2026-09-21 现查） | 两条路：把 `.claude/agents/` 加进归档的 `SCAN`（它会把引用改成只留文件名），或者让 23 号也判反引号里长得像仓内路径的串。后者射程更大，要先量误判 | 无 | 2026-09-21 archive-rename-r1 轮正推腿 J3①：`archive-rename-r1-sonne
