# id	name	file	old	new   (\n = newline). Old text must hit exactly once in the copy.
A1	回收门槛 ≤ 写成 <（重建与抬 F 共用的 reclaim_released_up_to）	crates/singlefs-core/src/allocator.rs	.filter(|record| record.is_released && record.generation <= floor)	.filter(|record| record.is_released && record.generation < floor)
A2	抬 F 回收少一代（只改 raise_rollback_floor 的调用处）	crates/singlefs-core/src/mount.rs	reclaim_floor(new_floor, oldest_valid_root),	reclaim_floor(CheckpointTxg(new_floor.0.saturating_sub(1)), oldest_valid_root),
A3	挂载重建不看环里最旧有效根（只按 F_生效 回收）	crates/singlefs-core/src/mount.rs	reclaim_floor(effective_floor, oldest_valid_root),	reclaim_floor(effective_floor, None),
A4	抬 F 不看环里最旧有效根	crates/singlefs-core/src/mount.rs	reclaim_floor(new_floor, oldest_valid_root),	reclaim_floor(new_floor, None),
A8	回收门槛取 min（F 与环里最旧有效根取小的）	crates/singlefs-core/src/mount.rs	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.max(oldest))	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.min(oldest))
B1	内容正好装满载荷容量也报装不下	crates/singlefs-core/src/transaction.rs	if file.content.len() > data_unit_capacity {	if file.content.len() >= data_unit_capacity {
B2	回退到 txg = F_生效 的根也拒	crates/singlefs-core/src/mount.rs	if target.checkpoint_txg < effective_floor {	if target.checkpoint_txg <= effective_floor {
B3	抬 F 上限不取第 4 新的非空根（只取每盘最新有效根）	crates/singlefs-core/src/mount.rs	Some(newest_on_every_device.min(fourth_newest))	Some(newest_on_every_device.max(fourth_newest))
B5	非空判定恒真（空发布也算非空）	crates/singlefs-core/src/mount.rs	root_pointers.inode_tree != previous_valid_root_pointers.inode_tree\n        || root_pointers.extent_tree != previous_valid_root_pointers.extent_tree	true || root_pointers.inode_tree != previous_valid_root_pointers.inode_tree\n        || root_pointers.extent_tree != previous_valid_root_pointers.extent_tree
N1	复用改写已回收记录时不改跨度（第 41 行同一处的另一格）	crates/singlefs-core/src/allocator.rs	existing.span_slots = u16::try_from(placement.span).expect("跨度 2 字节");\n            existing.generation = generation;	existing.generation = generation;
N2	复用改写已回收记录时不改分配代	crates/singlefs-core/src/allocator.rs	existing.generation = generation;\n            existing.is_released = false;	existing.is_released = false;
N3	复用改写已回收记录时不清已释放标志	crates/singlefs-core/src/allocator.rs	existing.is_released = false;\n            record_at_the_placement_slot	record_at_the_placement_slot
N4	让位只看起点严格落在落点前 span−1 槽里的记录（漏掉起点在落点末槽的；第 121 行同类）	crates/singlefs-core/src/allocator.rs	&& record.slot.0 < placement_end	&& record.slot.0 + 1 < placement_end
N5	让位漏掉起点在落点之前、跨进落点的记录（第 121 行同类）	crates/singlefs-core/src/allocator.rs	&& placement.slot.0 < record.slot.0 + u64::from(record.span_slots)	&& placement.slot.0 <= record.slot.0
B6	补齐字节从最后一个载荷字节算起（冷启动读回：内容末字节非零就报 I-2.3「补齐字节非零」）	crates/singlefs-core/src/unit.rs	    if bytes[payload_end..].iter().any(|byte| *byte != 0) {	    if bytes[payload_end - 1..].iter().any(|byte| *byte != 0) {
W1	分配记录墙差一：812 条正好装满也拒（> 写成 >=）	crates/singlefs-core/src/transaction.rs	    if records_after_this_publish > allocation_node_capacity {	    if records_after_this_publish >= allocation_node_capacity {
W2	分配记录墙的条目宽取错成记账条目宽（容量 812 变 477）	crates/singlefs-core/src/transaction.rs	        usize::try_from(ALLOCATION_RECORD_BYTES).expect("20"),	        usize::try_from(ACCOUNTING_ENTRY_BYTES).expect("20"),
R1	被抛弃时间线的根报成低于 F（只换理由文字）	crates/singlefs-core/src/mount.rs	            reason: "实例表里那个实例的行 T 更小：这是被抛弃时间线的根",	            reason: "txg 低于生效的回退下界 F",
B2s	只拒 F_生效 > 0 且 txg = F_生效 的回退目标（B2 语义那一格单独，不碰 F = 0 的理由格）	crates/singlefs-core/src/mount.rs	    if target.checkpoint_txg < effective_floor {	    if target.checkpoint_txg < effective_floor\n        || (effective_floor.0 > 0 && target.checkpoint_txg == effective_floor)\n    {
A9	回收门槛多一代（释放代 = F + 1 的也回收：F 那条候选根还引用着）	crates/singlefs-core/src/allocator.rs	.filter(|record| record.is_released && record.generation <= floor)	.filter(|record| record.is_released && record.generation <= CheckpointTxg(floor.0 + 1))
A10	释放不改写分配记录（记录留着「仍分配、原分配代」，位图照样标释放）	crates/singlefs-core/src/allocator.rs	            record.is_released = true;\n            record.generation = release_generation;\n	            let _ = release_generation;\n
