fault	arm	suffix	steps	final_mount	readback	violated	isolated_per_device	isolated_by_check	isolated_at_mount	free_minus_allocatable	check_reads	check_read_bytes	switches	reads_refused	check_events
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFFF	F:noop F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	0	0	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFFO	F:noop F:noop F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFFM	F:noop F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFMF	F:noop F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFOF	F:noop F:noop O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFOM	F:noop F:noop O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFMO	F:noop F:noop M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFMM	F:noop F:noop M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FFOO	F:noop F:noop O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	294912	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMFF	F:noop M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMFO	F:noop M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMFM	F:noop M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMMF	F:noop M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMOF	F:noop M:ok O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMOM	F:noop M:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMMO	F:noop M:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMMM	F:noop M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FMOO	F:noop M:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	16	327680	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOFF	F:noop O:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	7	163840	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOFO	F:noop O:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	294912	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOFM	F:noop O:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOMF	F:noop O:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	13	262144	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOMM	F:noop O:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	360448	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOOF	F:noop O:ok O:ok F:ok(F=3,reclaimed=1)	ok	same	-	[0, 0]	0	0	[0, 0]	17	360448	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOOO	F:noop O:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	425984	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOMO	F:noop O:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	19	393216	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	FOOM	F:noop O:ok O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	17	360448	0	0	t1@50316:record-kept-allocated
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFFF	M:ok F:noop F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	4	65536	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFFO	M:ok F:noop F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFMF	M:ok F:noop M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFFM	M:ok F:noop F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFMO	M:ok F:noop M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFMM	M:ok F:noop M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFOF	M:ok F:noop O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	10	196608	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFOO	M:ok F:noop O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	16	327680	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MFOM	M:ok F:noop O:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMFF	M:ok M:ok F:noop F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	8	131072	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMFO	M:ok M:ok F:noop O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMFM	M:ok M:ok F:noop M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMMF	M:ok M:ok M:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	14	229376	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMMM	M:ok M:ok M:ok M:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	327680	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMOF	M:ok M:ok O:ok F:noop	ok	same	-	[0, 0]	0	0	[0, 0]	14	262144	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMOO	M:ok M:ok O:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	393216	0	0	-
F7-map-bug-leaf-same-publish	N3-keep-allocated	MMMO	M:ok M:ok M:ok O:ok	ok	same	-	[0, 0]	0	0	[0, 0]	20	360448	0	0	-
