M1_头匹配无视birth	Header::KeyBirth => occupant_version_number == wanted_version_number,	Header::KeyBirth => self.versions[occupant_version_number as usize].key == self.versions[wanted_version_number as usize].key,
M2_失配后假装读对	let slot = self.map_slot[&entry.version_number];\n        (self.occupant[&slot], true)	let _ = &entry; (entry.version_number, true)
M3_整理不改映射	self.occupant.insert(new_slot, version_number);\n        self.map_slot.insert(version_number, new_slot);\n        assert_eq!(self.occupant.remove(&old_slot), Some(version_number));	self.occupant.insert(new_slot, version_number);\n        assert_eq!(self.occupant.remove(&old_slot), Some(version_number));
M4_误放计数不比版本	if self.occupant.get(&deadlist_entry.hint) != Some(&deadlist_entry.version_number) {	if false {
M5_释放按提示解落点	let slot = self.map_slot[&deadlist_entry.version_number];\n                self.release(slot, deadlist_entry.version_number);	let slot = deadlist_entry.hint;\n                self.release(slot, deadlist_entry.version_number);
M6_独立扫描漏掉同key条件	if occupant_version_number != entry.version_number && self.versions[occupant_version_number as usize].key == self.versions[entry.version_number as usize].key {	if occupant_version_number != entry.version_number {
M7_崩溃回滚漏撤新副本	world.occupant.remove(&new_slot);\n            world.free.insert(new_slot);	world.free.insert(new_slot);
M8_更新不刷新提示	leaf_entries[entry_position] = Entry { version_number, hint: slot };	leaf_entries[entry_position] = Entry { version_number, hint: old_entry.hint };
M9_LIFO退化成最低空槽	AllocationPolicy::Lifo => loop {\n                match self.free_order.pop() {\n                    Some(freed_slot) if self.free.contains(&freed_slot) => break freed_slot,\n                    Some(_) => continue,\n                    None => break *self.free.iter().next().expect("槽用尽"),\n                }\n            },	AllocationPolicy::Lifo => *self.free.iter().next().expect("槽用尽"),
M10_扫描游标不推进	self.sweep = picked.last().map(|&(slot, _)| slot + 1).unwrap_or(0);	let _ = &picked;
M11_审计漏反向核对	for (&slot, &version_number) in &self.occupant {\n            if self.map_slot.get(&version_number) != Some(&slot) {\n                return Err(format!("槽 {slot} 被 {version_number} 占着但映射不指回来"));\n            }\n        }	let _ = &self.occupant;
M12_读永远回映射	if let Some(&occupant_version_number) = self.occupant.get(&entry.hint) {\n            if self.header_matches(occupant_version_number, entry.version_number) {\n                return (occupant_version_number, false);\n            }\n        }	let _ = &entry.hint;
