组	旧事实	新事实	载体	原文
F1	C472（暂存区里多出来的触发文件没人拦）还欠着，没有门禁核暂存区里的触发文件有没有登记进范围	C472 已在 2026-09-22 还清：新立门禁 11 号核六条，暂存区里改动的触发文件都要先登记进 `.claude/batch-scope` 才放行，登记不全当场红	.claude/kb/checks-owed.md:435	| C472 | 暂存区里多出来的触发文件没人拦 | 新立门禁 11 号（这一批要碰的触发文件有没有登记进范围）：开工先把打算碰的触发文件逐个写进 `.claude/batch-scope`（一行一条、`#` 后面写为什么这一批非碰它不可，理由不许省），11 号核六条——触发文件都在登记里（少一个就红，出路两条：从暂存区撤出去并记进欠账往后延，或者补一行并认下那一轮阶段同步）、登记的路径都是这一批的触发文件（上一批留下的登记会让下一批白放行）、每行都写了理由、路径从仓库根起、清单读得到且非空、门禁 68 号还在读同一份清单。**它的基准是 HEAD 不是 `GATE_BASE`**：这一道问「这一次提交要带哪些」，取 `GATE_BASE` 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450（归档删掉的 sync 记录还在役） 躲开的是同一格）。触发文件的清单同日从 68 号的内嵌 python 挪进 `.claude/gate.d/knowledge-sync-triggers.tsv`，两道门禁读同一份，11 号第六条就是钉这件事。判别力自证：红样本五种坏法同时判
F2	触发文件的清单写死在门禁 68 号自己的内嵌 python 里，没有第二处能读到同一份	触发文件的清单单独放在 `.claude/gate.d/knowledge-sync-triggers.tsv`，门禁 68 号与新立的 11 号都读同一份，改一处两道都跟着变	.claude/kb/checks-owed.md:397	| C449 | 两套基准算法让带不带 --staged 判出不同的改动范围 | **共享的 `diff_base` 取「上次门禁全绿那一点」（没有上游时读 `refs/singlefs/gate-ok`），而项目本地阶段（56、68 号这类）各自写了简化版 `GATE_BASE > upstream > HEAD`** ⇒ 同一个工作区，带 `--staged` 跑（`gate.sh` 会把 `diff_base` 的结果设进 `GATE_BASE`）与不带跑，改动范围不是同一个：2026-09-21 实测，不带时基准是 HEAD `8186d5b`、68 号报 3 个触发文件没点名；带 `--staged` 时基准是 `3cff909`、同一道报 17 个。两次都是真判据，而读的人会以为其中一次是错的 | 一道检查比对两套算法：拿同一个仓、同一个暂存区，分别用共享 `diff_base` 与项目阶段自己那套算基准，两者不同就判红并列出差在哪几个提交；判别力自证用一个「上次门禁绿之后别人提交过一次」的样本仓，必须红。⚠️ **有意取别的基准的阶段要另列，不然这道检查会冤枉它们**：一
F2	触发文件的清单写死在门禁 68 号自己的内嵌 python 里，没有第二处能读到同一份	触发文件的清单单独放在 `.claude/gate.d/knowledge-sync-triggers.tsv`，门禁 68 号与新立的 11 号都读同一份，改一处两道都跟着变	.claude/kb/checks-owed.md:398	| C450 | 归档删掉的 sync 记录还在役 | **门禁 91 号按「HEAD 里有、工作区没改过」删上一轮的实验记录，而 68 号要求「上次门禁全绿以来的每个触发文件都有阶段同步记录点名」** ⇒ 上一轮提交时门禁没跑绿（`refs/singlefs/gate-ok` 没前移）的话，那一轮的 sync 记录既是「上一轮的、该删」又是「还在被 68 号要着的」，两道直接打架：2026-09-21 实测，归档删掉 `archive-rename-sync.md` 之后，它点名的 17 个触发文件在 `--staged` 跑里全部变成「没在任何同步记录里点名」 | 91 号删一份 `*-sync.md` 之前先问它点名的触发文件还在不在当前基准的改动范围里：在就不删、并说明为什么留；判别力自证用一个「gate-ok 落在上上次提交」的样本仓，那份 sync 记录必须留住。⚠️ **2026-09-21 又撞了一次，根因比立账时写的更窄：两道的时间基准差一格**。68 号的改动范围是 `diff(HEAD~1, 工作区)`（`refs/sop/gate-ok` 不存在时 `diff_
F2	触发文件的清单写死在门禁 68 号自己的内嵌 python 里，没有第二处能读到同一份	触发文件的清单单独放在 `.claude/gate.d/knowledge-sync-triggers.tsv`，门禁 68 号与新立的 11 号都读同一份，改一处两道都跟着变	.claude/kb/checks-owed.md:435	| C472 | 暂存区里多出来的触发文件没人拦 | 新立门禁 11 号（这一批要碰的触发文件有没有登记进范围）：开工先把打算碰的触发文件逐个写进 `.claude/batch-scope`（一行一条、`#` 后面写为什么这一批非碰它不可，理由不许省），11 号核六条——触发文件都在登记里（少一个就红，出路两条：从暂存区撤出去并记进欠账往后延，或者补一行并认下那一轮阶段同步）、登记的路径都是这一批的触发文件（上一批留下的登记会让下一批白放行）、每行都写了理由、路径从仓库根起、清单读得到且非空、门禁 68 号还在读同一份清单。**它的基准是 HEAD 不是 `GATE_BASE`**：这一道问「这一次提交要带哪些」，取 `GATE_BASE` 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450（归档删掉的 sync 记录还在役） 躲开的是同一格）。触发文件的清单同日从 68 号的内嵌 python 挪进 `.claude/gate.d/knowledge-sync-triggers.tsv`，两道门禁读同一份，11 号第六条就是钉这件事。判别力自证：红样本五种坏法同时判
F3	GATE_BASE 与 HEAD 两种基准的讨论只覆盖门禁 8、449、468 那几条，还没有一道处理『暂存区触发文件范围』的门禁把基准定下来	新立门禁 11 号把基准定成 HEAD、不是 GATE_BASE：它问的是『这一次提交要带哪些』，取 GATE_BASE 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450 躲开的是同一格）	.claude/kb/checks-owed.md:22	| C8 | 门禁范围判不出来 | **一次改动的门禁范围判不出来，于是要么全跑（挂钟炸）要么少跑（有布局没被验）** | 门禁按 diff 计算**受影响的布局集合**并打印：diff 只碰某一条布局的专属路径 ⇒ 只跑那一条；碰到共享代码（事务层、`CommitStep`、格式常量、checker 框架）⇒ **强制全跑**。取不到这个集合、或集合为空而 diff 非空，即判红。故障注入自证：造一个只改共享枚举的 diff，门禁必须判为全跑；造一个只改单布局的 diff，必须判为只跑那一条 | 布局清单文件、布局专属路径与共享路径的目录约定、事务层存在（事务层 2026-09-14 已有；布局清单文件 2026-09-21 随 C14（格式变了 checker 没跟） 有了：`.claude/gate.d/layouts.tsv` 一套布局一行，登记位号、格式定义路径与 checker 判定路径，门禁 92 号读它——它给的是「布局 → 路径」这一层映射，C8（门禁范围判不出来） 还欠「专属路径与共享路径怎么分」那一层） | **判据从「总时长」改成「范围可判定」（2026-08-
F3	GATE_BASE 与 HEAD 两种基准的讨论只覆盖门禁 8、449、468 那几条，还没有一道处理『暂存区触发文件范围』的门禁把基准定下来	新立门禁 11 号把基准定成 HEAD、不是 GATE_BASE：它问的是『这一次提交要带哪些』，取 GATE_BASE 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450 躲开的是同一格）	.claude/kb/checks-owed.md:397	| C449 | 两套基准算法让带不带 --staged 判出不同的改动范围 | **共享的 `diff_base` 取「上次门禁全绿那一点」（没有上游时读 `refs/singlefs/gate-ok`），而项目本地阶段（56、68 号这类）各自写了简化版 `GATE_BASE > upstream > HEAD`** ⇒ 同一个工作区，带 `--staged` 跑（`gate.sh` 会把 `diff_base` 的结果设进 `GATE_BASE`）与不带跑，改动范围不是同一个：2026-09-21 实测，不带时基准是 HEAD `8186d5b`、68 号报 3 个触发文件没点名；带 `--staged` 时基准是 `3cff909`、同一道报 17 个。两次都是真判据，而读的人会以为其中一次是错的 | 一道检查比对两套算法：拿同一个仓、同一个暂存区，分别用共享 `diff_base` 与项目阶段自己那套算基准，两者不同就判红并列出差在哪几个提交；判别力自证用一个「上次门禁绿之后别人提交过一次」的样本仓，必须红。⚠️ **有意取别的基准的阶段要另列，不然这道检查会冤枉它们**：一
F3	GATE_BASE 与 HEAD 两种基准的讨论只覆盖门禁 8、449、468 那几条，还没有一道处理『暂存区触发文件范围』的门禁把基准定下来	新立门禁 11 号把基准定成 HEAD、不是 GATE_BASE：它问的是『这一次提交要带哪些』，取 GATE_BASE 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450 躲开的是同一格）	.claude/kb/checks-owed.md:435	| C472 | 暂存区里多出来的触发文件没人拦 | 新立门禁 11 号（这一批要碰的触发文件有没有登记进范围）：开工先把打算碰的触发文件逐个写进 `.claude/batch-scope`（一行一条、`#` 后面写为什么这一批非碰它不可，理由不许省），11 号核六条——触发文件都在登记里（少一个就红，出路两条：从暂存区撤出去并记进欠账往后延，或者补一行并认下那一轮阶段同步）、登记的路径都是这一批的触发文件（上一批留下的登记会让下一批白放行）、每行都写了理由、路径从仓库根起、清单读得到且非空、门禁 68 号还在读同一份清单。**它的基准是 HEAD 不是 `GATE_BASE`**：这一道问「这一次提交要带哪些」，取 `GATE_BASE` 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450（归档删掉的 sync 记录还在役） 躲开的是同一格）。触发文件的清单同日从 68 号的内嵌 python 挪进 `.claude/gate.d/knowledge-sync-triggers.tsv`，两道门禁读同一份，11 号第六条就是钉这件事。判别力自证：红样本五种坏法同时判
F3	GATE_BASE 与 HEAD 两种基准的讨论只覆盖门禁 8、449、468 那几条，还没有一道处理『暂存区触发文件范围』的门禁把基准定下来	新立门禁 11 号把基准定成 HEAD、不是 GATE_BASE：它问的是『这一次提交要带哪些』，取 GATE_BASE 会把上一个提交的触发文件也算进来、每次提交之后必然误红（与 C450 躲开的是同一格）	.claude/kb/checks-owed.md:436	| C468 | 判错的原始证据不落盘 | 门禁 68 号（阶段同步记录）加判据 ⑤：这一次提交要带上的每份同步记录（还没进 HEAD 的那几份）要有「## 原始证据」小节，小节里恰好一张表，表头逐字 `材料 / 路径 / 行数`，至少一行；逐行核材料格非空、路径是仓库根起且在仓里现存、行数与那份文件的 `wc -l` 逐字相等。⑤ 的基准是 HEAD 而不是 `GATE_BASE`（①–④ 用后者）：拿 `GATE_BASE` 判会连上一个提交里已经写好的记录一起判，而那份是冻结证据、改不得，它的材料也归档了——理由写在脚本里 `uncommitted_records` 那一段。判别力自证：红样本五种坏法（整节缺掉、表头写错、表一行都没有、点名的候选表不在仓里、行数与 `wc -l` 对不上）各一份记录，逐个判红；green 两份记录各带一张对得上的表（含一个反引号包着的路径、一份不以换行结尾的材料）判绿并报对数 | 2026-09-22 |
F4	`.claude/gate.d/stage-owners.tsv` 里门禁的归属登记还没有门禁 11 号这一条	门禁 11 号在 `.claude/gate.d/stage-owners.tsv` 里登记归 `gate-triage`	.claude/agent-common.md:53	- 哪个门禁阶段该由谁在干完自己的活之后先跑，登记在 `.claude/gate.d/stage-owners.tsv`（第二列是 agent 名，逗号分隔）。列出登记给你的：
F4	`.claude/gate.d/stage-owners.tsv` 里门禁的归属登记还没有门禁 11 号这一条	门禁 11 号在 `.claude/gate.d/stage-owners.tsv` 里登记归 `gate-triage`	.claude/agent-common.md:54	`awk -F'\t' -v me=<你的名字> '$1 !~ /^#/ && NF == 3 { n = split($2, owners, ","); for (i = 1; i <= n; i++) if (owners[i] == me) print $1 }' .claude/gate.d/stage-owners.tsv`
